World rank,City,Country,City population,Metro population,Mayor
6,BUENOS AIRES,Argentina,11655000,12924000,Mauricio Macri
n/r,Buffalo,USA,296000,1572000,Byron Brown
553,Bulawayo,Zimbabwe,676000,676000,Thaba Moyo
253,Bursa,Turkey,1400000,3190000,Recep Altepe
63,Busan,South Korea,3600000,4292000,Hur Nam-sik
21,CAIRO,Egypt,7764000,15546000,Abdul Azim Wazir
416,Calgary,Canada,988000,1080000,Naheed Nenshi
104,Cali,Colombia,2525000,2801000,Jorge Ivan Ospina
267,Caloocan,Philippines,1379000,,Enrico Echiverri
386,Campinas,Brazil,1059000,3200000,Hщlio de Oliveira Santos
66,Cape Town,South Africa,3497000,7280000,Patricia de Lille
87,CARACAS,Venezuela,2762000,3478000,Antonio Ledezma
452,Cartagena,Colombia,893000,1240000,Judith Pinedo
58,Casablanca,Morocco,3673000,3850000,Mohammed Sajid
n/r,Catania,Italy,337000,831000,n/k
520,Cebu City,Philippines,747000,1198000,Tomas R Osmena
449,Chandigarh,India,901000,,n/k
65,Changchun,China,3581000,7460000,Cui Jie
254,Changde,China,1400000,6000000,Chen Wenhao
89,Changsha,China,2744000,6140000,Zhang Jiangfei
392,Changshu,China,1048000,,Wang Xiang
n/r,Changweon,South Korea,486000,1254000,n/k
136,Changzhou,China,2086000,3570000,Wang Weicheng
113,Chaoyang,China,2471000,,Zhang Tiemin
585,Charlotte,USA,559000,1466000,Anthony Foxx
371,Chelyabinsk,Russia,1092000,1200000,Mikhail Yurevich
n/r,Chemnitz,Germany,243000,1082000,Barbara Ludwig
49,Chengdu,China,4334000,11000000,Ge Honglin
44,Chennai,India,4600000,7330000,M Subramaniam
424,Chiba,Japan,962000,970000,Toshihito Kumagai
82,Chicago,USA,2853000,8770000,Rahm Emanuel
540,Chihuahua,Mexico,694000,825000,n/k
504,CHISINAU,Moldova,785000,911000,Dorin Chirtoaca
100,Chittagong,Bangladesh,2580000,3858000,Mohammed Manjur Alam
38,Chongqing,China,5087000,9700000,Huang Qifan
n/r,Cincinnati,USA,380000,2155000,Mark L. Mallory
n/r,Cirebon,Indonesia,319000,926000,n/k
431,Ciudad Guayana,Venezuela,940000,1000000,Josщ Ramєn Lopщz
255,Ciudad Juarez,Mexico,1400000,2010000,Josщ Reyes Ferriz
319,Cixi,China,1220000,,n/k
n/r,Cleveland,USA,434000,2250000,Frank G. Jackson
568,Cochabamba,Bolivia,608000,798000,n/k
433,Coimbatore,India,931000,1446000,R.Venkatachalam
414,Cologne,Germany,995000,11297000,J№rgen Roters
n/r,Colombo,Brazil,247000,2160000,Josщ Antonio Camargo
561,COLOMBO,Sri Lanka,650000,2400000,Uvais Mohamed Imitiyas
531,Columbus,USA,714000,1540000,Michael B Coleman
145,CONAKRY,Guinea,1931000,,Mamadou Wasco Camara
n/r,Concepciєn,Chile,404000,978000,Jacqueline van Rysselberghe
369,COPENHAGEN,Denmark,1096000,1096000,Frank Jensen
288,Cordoba,Argentina,1310000,1528000,Daniel Giacomino
582,Culiacan,Mexico,567000,766000,n/k
153,Curitiba,Brazil,1851000,3261000,Carlos Richa
105,Daegu,South Korea,2512000,,Kim Bum-il
239,Daejeon,South Korea,1443000,,Yum Hong-chul
397,DAKAR,Senegal,1031000,2253000,Khalifa Sall
124,Dalian,China,2270000,3478000,Li Wancai
302,Dallas,USA,1280000,6300000,Tom Leppert
183,DAMASCUS,Syria,1670000,4350000,Bishr Al Sabban
485,Dammam,Saudi Arabia,812000,2000000,Dhaifallah al-'Utaybi
454,Danyang,China,890000,,n/k
499,Daqing,China,800000,2770000,n/k
110,DAR ES SALAAM,Tanzania,2498000,2700000,Adam Kimbisa
308,Datong,China,1253000,1377000,n/k
272,Davao City,Philippines,1363000,,Inday Sara Duterte-Carpio
459,Daye,China,874000,,n/k
n/r,Dayton,USA,167000,848000,n/k
5,DELHI,India,12100000,16713000,Kanwar Sain
n/r,Denpasar,Indonesia,491000,934000,n/k
576,Denver,USA,583000,2746000,John W Hickenlooper
441,Detroit,USA,912000,3903000,Dave Bing
19,DHAKA,Bangladesh,7940000,12797000,Sadeque Hossain Khosa
383,Dhanbad,India,1065000,1200000,n/k
394,Dnipropetrovsk,Ukraine,1040000,1480000,Ivan Ivanovych Kulichenko
366,Donetsk,Ukraine,1100000,1570000,Oleksandr Lukianchenko
29,Dongguan,China,6446000,7650000,Li Yuquan
337,Dongtai,China,1170000,,n/k
n/r,Dongying,China,294000,804000,n/k
573,Dortmund,Germany,584000,,Ullrich Sierau
263,Douala,Cameroon,1382000,2000000,n/k
n/r,Dresden,Germany,512000,1030000,Helma Orosz
374,Dubai,UAE,1089000,2100000,n/k
n/r,Dublin,Ireland,506000,1661000,Emer Costello
n/r,Duisburg,Germany,494000,,Adolf Sauerland
462,Duque de Caxias,Brazil,864000,1000000,Josщ Camilo Zito dos Santos Filho
554,Durban,South Africa,670000,3468000,Obed Mlama
85,Durg,India,2810000,,Dr Shiv Kumar Tamer
550,DUSHANBE,Tajikistan,680000,810000,Mahmadsaid Ubaydulloyev
,,,,,
