Unicode code point,character,UTF-8 (bin.),name
U+013E,─╛,11000100 10111110,LATIN SMALL LETTER L WITH CARON
U+013F,─┐,11000100 10111111,LATIN CAPITAL LETTER L WITH MIDDLE DOT
U+0140,┼А,11000101 10000000,LATIN SMALL LETTER L WITH MIDDLE DOT
U+0141,┼Б,11000101 10000001,LATIN CAPITAL LETTER L WITH STROKE
U+0142,┼В,11000101 10000010,LATIN SMALL LETTER L WITH STROKE
U+0143,┼Г,11000101 10000011,LATIN CAPITAL LETTER N WITH ACUTE
U+0144,┼Д,11000101 10000100,LATIN SMALL LETTER N WITH ACUTE
U+0145,┼Е,11000101 10000101,LATIN CAPITAL LETTER N WITH CEDILLA
U+0146,┼Ж,11000101 10000110,LATIN SMALL LETTER N WITH CEDILLA
U+0147,┼З,11000101 10000111,LATIN CAPITAL LETTER N WITH CARON
U+0148,┼И,11000101 10001000,LATIN SMALL LETTER N WITH CARON
U+0149,┼Й,11000101 10001001,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
U+014A,┼К,11000101 10001010,LATIN CAPITAL LETTER ENG
U+014B,┼Л,11000101 10001011,LATIN SMALL LETTER ENG
U+014C,┼М,11000101 10001100,LATIN CAPITAL LETTER O WITH MACRON
U+014D,┼Н,11000101 10001101,LATIN SMALL LETTER O WITH MACRON
U+014E,┼О,11000101 10001110,LATIN CAPITAL LETTER O WITH BREVE
U+014F,┼П,11000101 10001111,LATIN SMALL LETTER O WITH BREVE
U+0150,┼Р,11000101 10010000,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
U+0151,┼С,11000101 10010001,LATIN SMALL LETTER O WITH DOUBLE ACUTE
U+0152,┼Т,11000101 10010010,LATIN CAPITAL LIGATURE OE
U+0153,┼У,11000101 10010011,LATIN SMALL LIGATURE OE
U+0154,┼Ф,11000101 10010100,LATIN CAPITAL LETTER R WITH ACUTE
U+0155,┼Х,11000101 10010101,LATIN SMALL LETTER R WITH ACUTE
U+0156,┼Ц,11000101 10010110,LATIN CAPITAL LETTER R WITH CEDILLA
U+0157,┼Ч,11000101 10010111,LATIN SMALL LETTER R WITH CEDILLA
U+0158,┼Ш,11000101 10011000,LATIN CAPITAL LETTER R WITH CARON
U+0159,┼Щ,11000101 10011001,LATIN SMALL LETTER R WITH CARON
U+015A,┼Ъ,11000101 10011010,LATIN CAPITAL LETTER S WITH ACUTE
U+015B,┼Ы,11000101 10011011,LATIN SMALL LETTER S WITH ACUTE
U+015C,┼Ь,11000101 10011100,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
U+015D,┼Э,11000101 10011101,LATIN SMALL LETTER S WITH CIRCUMFLEX
U+015E,┼Ю,11000101 10011110,LATIN CAPITAL LETTER S WITH CEDILLA
U+015F,┼Я,11000101 10011111,LATIN SMALL LETTER S WITH CEDILLA
U+0160,┼а,11000101 10100000,LATIN CAPITAL LETTER S WITH CARON
U+0161,┼б,11000101 10100001,LATIN SMALL LETTER S WITH CARON
U+0162,┼в,11000101 10100010,LATIN CAPITAL LETTER T WITH CEDILLA
U+0163,┼г,11000101 10100011,LATIN SMALL LETTER T WITH CEDILLA
U+0164,┼д,11000101 10100100,LATIN CAPITAL LETTER T WITH CARON
U+0165,┼е,11000101 10100101,LATIN SMALL LETTER T WITH CARON
U+0166,┼ж,11000101 10100110,LATIN CAPITAL LETTER T WITH STROKE
U+0167,┼з,11000101 10100111,LATIN SMALL LETTER T WITH STROKE
U+0168,┼и,11000101 10101000,LATIN CAPITAL LETTER U WITH TILDE
U+0169,┼й,11000101 10101001,LATIN SMALL LETTER U WITH TILDE
U+016A,┼к,11000101 10101010,LATIN CAPITAL LETTER U WITH MACRON
U+016B,┼л,11000101 10101011,LATIN SMALL LETTER U WITH MACRON
U+016C,┼м,11000101 10101100,LATIN CAPITAL LETTER U WITH BREVE
U+016D,┼н,11000101 10101101,LATIN SMALL LETTER U WITH BREVE
U+016E,┼о,11000101 10101110,LATIN CAPITAL LETTER U WITH RING ABOVE
U+016F,┼п,11000101 10101111,LATIN SMALL LETTER U WITH RING ABOVE
U+0170,┼░,11000101 10110000,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
U+0171,┼▒,11000101 10110001,LATIN SMALL LETTER U WITH DOUBLE ACUTE
U+0172,┼▓,11000101 10110010,LATIN CAPITAL LETTER U WITH OGONEK
U+0173,┼│,11000101 10110011,LATIN SMALL LETTER U WITH OGONEK
U+0174,┼┤,11000101 10110100,LATIN CAPITAL LETTER W WITH CIRCUMFLEX
U+0175,┼╡,11000101 10110101,LATIN SMALL LETTER W WITH CIRCUMFLEX
U+0176,┼╢,11000101 10110110,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
U+0177,┼╖,11000101 10110111,LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+0178,┼╕,11000101 10111000,LATIN CAPITAL LETTER Y WITH DIAERESIS
U+0179,┼╣,11000101 10111001,LATIN CAPITAL LETTER Z WITH ACUTE
U+017A,┼║,11000101 10111010,LATIN SMALL LETTER Z WITH ACUTE
U+017B,┼╗,11000101 10111011,LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+017C,┼╝,11000101 10111100,LATIN SMALL LETTER Z WITH DOT ABOVE
U+017D,┼╜,11000101 10111101,LATIN CAPITAL LETTER Z WITH CARON
U+017E,┼╛,11000101 10111110,LATIN SMALL LETTER Z WITH CARON
U+017F,┼┐,11000101 10111111,LATIN SMALL LETTER LONG S
