#,Catholics,Population,Percent Catholic,Country,Dioceses,Diocesan Priests,Religious Priests,Total Priests,Permanent Deacons,Male Religious,Female Religious,Parishes
77,1282000,14580000,8.79%,Zimbabwe,8,183,220,403,12,528,1049,208
78,1191000,165809000,.72%,Pakistan,7,122,112,234,1,208,662,114
79,1030000,10310000,9.99%,Belarus,4,214,157,371,,207,354,402
80,971000,1811000,53.62%,Lesotho,4,67,80,147,,150,653,86
81,793000,3492000,22.71%,Central African Republic,9,139,138,277,,189,334,114
82,789000,147125000,.54%,Russian Federation,5,126,142,268,3,193,309,426
83,784000,24740000,3.17%,Malaysia,8,179,48,227,1,101,558,142
84,767000,823000,93.20%,East Timor,2,44,69,113,,195,289,37
85,720000,8178000,8.80%,Chad,8,131,111,242,,157,375,109
86,703000,2500000,28.12%,Pacific (Oceania),17,213,260,473,141,463,837,345
87,673000,10357000,6.50%,Senegal,7,267,127,394,,336,719,125
88,615000,1325000,46.42%,Gabon,6,57,61,118,1,95,167,64
89,603000,58304000,1.03%,Myanmar,12,515,29,544,,159,1454,290
90,595000,645000,92.25%,R?union,1,58,52,110,13,86,505,75
91,548000,586000,93.52%,Equatorial Guinea,3,63,45,108,2,86,208,69
92,541000,9878000,5.48%,Serbia and Montenegro,7,205,46,251,7,57,319,265
93,533000,59862000,.89%,Ethiopia,10,189,289,478,1,461,596,246
94,509000,127851000,.40%,Japan,16,501,1088,1589,12,1407,6263,848
95,464000,2981000,15.57%,Bosnia and Herzegovina,3,266,361,627,1,437,499,276
96,459000,3945000,11.63%,New Zealand,7,317,201,518,9,366,944,271
97,432000,465000,92.90%,Cape Verde,2,17,35,52,,42,134,31
98,430000,2381000,18.06%,Latvia,4,108,27,135,1,32,109,267
99,425000,1000000,42.50%,Syria,17,199,77,276,12,96,375,227
100,414000,3500000,11.83%,Iraq,15,142,37,179,9,71,424,119
101,388000,448000,86.61%,Luxembourg,1,180,68,248,7,80,566,275
102,375000,2235000,16.78%,Namibia,3,19,63,82,45,97,399,91
103,368000,386000,95.34%,Malta,2,477,448,925,,524,1047,79
104,310000,1178000,26.32%,Mauritius,2,61,40,101,,74,244,49
105,303000,22158000,1.37%,Taiwan,7,226,479,705,,644,1056,452
106,299000,-,,Egypt,12,205,327,532,,462,1323,205
107,292000,63922000,.46%,Thailand,10,433,229,662,,434,1439,436
108,283000,119062000,.24%,Bangladesh,6,126,131,257,,226,1059,81
109,270000,-,,Armenia,2,6,17,23,,27,43,48
110,235000,2460000,9.55%,Albania,4,22,26,48,,35,177,72
111,227000,15039000,1.51%,Mali,6,79,71,150,,88,280,42
112,186000,5966000,3.12%,Sierra Leone,3,69,51,120,,80,39,61
113,182000,15889000,1.15%,Kazakhstan,4,45,29,74,,40,100,46
114,171000,6646000,2.57%,Guinea,3,80,19,99,,36,100,56
115,165000,2850000,5.79%,Liberia,3,36,16,52,,29,42,49
116,162000,4185000,3.87%,Singapore,1,70,67,137,,132,202,30
117,158000,2650000,5.96%,Kuwait,1,2,8,10,1,8,13,4
118,148000,4968000,2.98%,Eritrea,3,80,252,332,,347,562,110
119,144000,8977000,1.60%,Sweden,1,73,78,151,23,96,215,41
120,123000,11862000,1.04%,Greece,11,53,37,90,3,65,124,86
121,121000,138000,87.68%,S?o Tom? and Pr?ncipe,1,2,7,9,,15,36,12
122,120000,1300000,9.23%,Guinea-Bissau,2,13,54,67,,78,133,30
123,91000,437000,20.82%,Solomon Islands,3,38,29,67,,43,95,27
124,83000,1735000,4.78%,Botswana,2,16,40,56,1,44,72,33
125,83000,-,,Palestine,2,86,304,390,,509,1209,74
126,75000,5939000,1.26%,Libya,4,3,20,23,,20,133,13
127,74000,8000000,.93%,Bulgaria,3,17,35,52,,43,87,56
128,74000,-,,Israel,2,58,30,88,,38,612,18
129,70000,82000,85.37%,Seychelles,1,8,8,16,1,9,53,17
130,55000,4556000,1.21%,Norway,3,27,43,70,3,48,173,32
131,55000,990000,5.56%,Swaziland,1,11,15,26,,23,58,15
132,39000,6524000,.60%,Laos,4,12,,12,,2,83,77
133,35000,5501000,.64%,Denmark,1,39,38,77,5,43,222,50
134,35000,1680000,2.08%,Gambia,1,15,10,25,,21,42,54
135,31000,-,,Jordan,1,23,5,28,,5,15,28
136,29000,32000,90.63%,Monaco,1,13,5,18,1,5,15,6
137,28000,-,,Turkey,6,11,50,61,2,68,115,43
138,25000,33000,75.76%,Liechtenstein,1,19,10,29,,10,57,10
139,24000,-,,Iran,5,6,11,17,3,11,30,17
140,23000,31700000,.07%,Morocco,2,6,40,46,,56,239,40
141,21000,347000,6.05%,Brunei Darussalam,1,3,1,4,,1,2,3
142,21000,28000,75.00%,Gibraltar,1,9,1,10,,4,9,6
143,21000,12571000,.17%,Cambodia,3,6,36,42,,47,72,36
144,20000,4247000,.47%,Moldova,1,6,8,14,1,18,40,11
145,20000,9700000,.21%,Tunisia,1,13,21,34,,25,139,11
146,16000,11880000,.13%,Niger,2,14,30,44,,35,81,17
147,14000,2350000,.60%,Macedonia,2,12,3,15,,3,32,7
148,10000,780000,1.28%,Cyprus,1,5,2,7,,5,3,9
149,8000,5206000,.15%,Finland,1,6,10,16,1,12,36,7
150,7000,557000,1.26%,Djibouti,1,2,5,7,,9,19,6
151,7000,24421000,.03%,Nepal,1,9,40,49,,56,115,42
152,6000,6000,100.00%,Saint Pierre and Miquelon,1,,2,2,,2,6,2
153,5000,1370000,.36%,Estonia,1,9,5,14,,5,21,6
154,5000,290000,1.72%,Iceland,1,6,5,11,,5,34,4
155,4000,907000,.44%,Comoros,1,1,3,4,,4,4,2
156,4000,2600000,.15%,Mauritania,1,3,10,13,,10,34,6
157,3000,31135000,.01%,Algeria,4,36,56,92,1,77,195,37
