Country,Capital,Area sq.km.,Population 2008 est.
Czech Republic,Prague,78866,10220911
Denmark,Copenhagen,43094,5484723
Djibouti,Djibouti,23000,506221
Dominica,Roseau,754,72514
Dominican Republic,Santo Domingo,48730,9507133
Ecuador,Quito,283560,13927650
Egypt,Cairo,1001450,81713520
El Salvador,San Salvador,21040,7066403
Equatorial Guinea,Malabo,28051,616459
Eritrea,Asmara,121320,5502026
Estonia,Tallinn,45226,1307605
Ethiopia,Addis Ababa,1127127,82544840
Falkland Islands (Islas Malvinas),Stanley,12173,3140
Faroe Islands,Torshavn,1399,48668
Fiji,Suva,18270,931741
Finland,Helsinki,338145,5244749
France,Paris,643427,64057792
French Polynesia,Papeete,4167,283019
Gabon,Libreville,267667,1485832
Gambia The,Banjul,11300,1735464
Georgia,T'bilisi,69700,4630841
Germany,Berlin,357021,82369552
Ghana,Accra,239460,23382848
Gibraltar,Gibraltar,7,28002
Greece,Athens,131940,10722816
Greenland,Nuuk,2166086,57564
Grenada,Saint George's,344,90343
Guam,Hagatna,541,175877
Guatemala,Guatemala,108890,13002206
Guernsey,Saint Peter Port,78,65726
Guinea,Conakry,245857,9806509
Guinea-Bissau,Bissau,36120,1503182
Guyana,Georgetown,214970,770794
Haiti,Port-au-Prince,27750,8924553
Holy See (Vatican City),Vatican City,0,824
Honduras,Tegucigalpa,112090,7639327
Hungary,Budapest,93030,9930915
Iceland,Reykjavik,103000,304367
India,New Delhi,3287590,1147995904
Indonesia,Jakarta,1919440,237512352
Iran,Tehran,1648000,65875224
Iraq,Baghdad,437072,28221180
Ireland,Dublin,70280,4156119
Israel,Jerusalem,20770,7112359
Italy,Rome,301230,58145320
Jamaica,Kingston,10991,2804332
Japan,Tokyo,377835,127288416
Jersey,Saint Helier,116,91533
Jordan,Amman,92300,6198677
Kazakhstan,Astana,2717300,15340533
Kenya,Nairobi,582650,37953840
Kiribati,Tarawa,811,110356
Korea North,P'yongyang,120540,23479088
Korea South,Seoul,98480,48379392
Kosovo,Pristina,10887,2126708
Kuwait,Kuwait,17820,2596799
Kyrgyzstan,Bishkek,198500,5356869
Laos,Vientiane,236800,6677534
Latvia,Riga,64589,2245423
Lebanon,Beirut,10400,3971941
Lesotho,Maseru,30355,2128180
Liberia,Monrovia,111370,3334587
Libya,Tripoli,1759540,6173579
Liechtenstein,Vaduz,160,34498
Lithuania,Vilnius,65200,3565205
Luxembourg,Luxembourg,2586,486006
Macedonia,Skopje,25333,2061315
Madagascar,Antananarivo,587040,20042552
Malawi,Lilongwe,118480,13931831
Malaysia,Kuala Lumpur,329750,25274132
Maldives,Male,300,385925
Mali,Bamako,1240000,12324029
Malta,Valletta,316,403532
Man Isle of,Douglas,572,76220
Marshall Islands,Majuro,181,63174
Mauritania,Nouakchott,1030700,3364940
Mauritius,Port Louis,2040,1274189
Mayotte,Mamoutzou,374,216306
Mexico,Mexico,1972550,109955400
Micronesia Federated States of,Palikir,702,107665
Moldova,Chisinau,33843,4324450
Monaco,Monaco,2,32796
Mongolia,Ulaanbaatar,1564116,2996081
Montenegro,Podgorica,14026,678177
Montserrat,Plymouth ?,102,5079
Morocco,Rabat,446550,34343220
Mozambique,Maputo,801590,21284700
Namibia,Windhoek,825418,2088669
Nauru,no official capital,21,13770
Nepal,Kathmandu,147181,29519114
Netherlands,Amsterdam,41526,16645313
Netherlands Antilles,Willemstad,960,225369
New Caledonia,Noumea,19060,224824
New Zealand,Wellington,268680,4173460
Nicaragua,Managua,129494,5785846
Niger,Niamey,1267000,13272679
Nigeria,Abuja,923768,146255312
Niue,Alofi,260,1444
Norfolk Island,Kingston,35,2128
Northern Mariana Islands,Saipan,477,86616
Norway,Oslo,323802,4644457
Oman,Muscat,212460,3311640
Pakistan,Islamabad,803940,172800048
Palau,Melekeok,458,21093
Palestinian Territory Occupied,Ramallah,6220,3907883
Panama,Panama,78200,3309679
Papua New Guinea,Port Moresby,462840,5931769
Paraguay,Asuncion,406750,6831306
Peru,Lima,1285220,29180900
Philippines,Manila,300000,96061680
Pitcairn Islands,Adamstown,47,48
Poland,Warsaw,312685,38500696
Portugal,Lisbon,92391,10676910
Puerto Rico,San Juan,13790,3958128
Qatar,Doha,11437,824789
Romania,Bucharest,237500,22246862
Russia,Moscow,17075200,140702096
Rwanda,Kigali,26338,10186063
Saint Barthelemy,Gustavia,21,7492
Saint Helena,Jamestown,413,7601
Saint Kitts and Nevis,Basseterre,261,39817
Saint Lucia,Castries,616,159585
Saint Martin,Marigot,54,29376
Saint Pierre and Miquelon,Saint-Pierre,242,7044
Saint Vincent and the Grenadines,Kingstown,389,118432
Samoa,Apia,2944,217083
San Marino,San Marino,61,29973
Sao Tome and Principe,Sao Tome,1001,206178
Saudi Arabia,Riyadh,2149690,28146656
Senegal,Dakar,196190,12853259
Serbia,Belgrade,77474,10159046
Seychelles,Victoria,455,82247
Sierra Leone,Freetown,71740,6294774
Singapore,Singapore,693,4608167
Slovakia,Bratislava,48845,5455407
Slovenia,Ljubljana,20273,2007711
Solomon Islands,Honiara,28450,581318
Somalia,Mogadishu,637657,9558666
South Africa,Pretoria ?,1219912,48782756
Spain,Madrid,504782,40491052
Sri Lanka,Colombo,65610,21128772
Sudan,Khartoum,2505810,40218456
Suriname,Paramaribo,163270,475996
Svalbard,Longyearbyen,61020,2165
Swaziland,Mbabane ?,17363,1128814
Sweden,Stockholm,449964,9045389
Switzerland,Bern,41290,7581520
Syria,Damascus,185180,19747586
Taiwan,Taipei,35980,22920946
Tajikistan,Dushanbe,143100,7211884
Tanzania,Dar es Salaam,945087,40213160
Thailand,Bangkok,514000,65493296
Timor-Leste (East-Timor),Dili,15007,1108777
Togo,Lome,56785,5858673
Tokelau,none,10,1433
Tonga,Nuku'alofa,748,119009
Trinidad and Tobago,Port-of-Spain,5128,1047366
Tunisia,Tunis,163610,10383577
Turkey,Ankara,780580,71892808
Turkmenistan,Ashgabat,488100,5179571
Turks and Caicos Islands,Cockburn Town,430,22352
Tuvalu,Fongafale,26,12177
Uganda,Kampala,236040,31367972
Ukraine,Kiev,603700,45994288
United Arab Emirates,Abu Dhabi,83600,4621399
United Kingdom,London,244820,60943912
United States of America,Washington DC,9826630,303824640
Uruguay,Montevideo,176220,3477778
Uzbekistan,Tashkent,447400,27345026
Vanuatu,Port-Vila,12200,215446
Venezuela,Caracas,912050,26414816
Vietnam,Hanoi,329560,86116560
Virgin Islands U.S.,Charlotte Amalie,1910,109840
Wallis and Futuna,Mata-Utu,274,15237
Western Sahara,none,266000,393831
Yemen,Sanaa,527970,23013376
Zambia,Lusaka,752614,11669534
Zimbabwe,Harare,390580,11350111
World,,510072000,6706993152
