PEAK,RANKING,MAP,GUIDE,GRID REF,ALT (ft),ALT (m)
Dale Head,63,NW,NW,NY 223 154,2473,754
Dodd,175,NW,N,NY 244 273,1612,491
Dollywagon Pike,16,NE,E,NY 345 131,2810,856
Dove Crag,37,NE,E,NY 374 104,2603,793
Dow Crag,47,SW,S,SD 262 977,2555,779
Eagle Crag,174,NW,C,NY 275 121,1650,503
Eel Crag (Crag Hill),24,NW,NW,NY 193 203,2749,838
Esk Pike,11,SW,S,NY 230 075,2903,885
Fairfield,13,NE,E,NY 359 117,2863,873
Fellbarrow,199,NW,W,NY132 243,1363,415
Fleetwith Pike,114,NW,W,NY 205 142,2126,648
Froswick,80,SE,FE,NY 435 085,2339,713
Gavel Fell,159,NW,W,NY 116 184,1720,524
Gibson Knott,197,SE,C,NY 318 099,1379,420
Glaramara,45,NW,S,NY 247 105,2560,780
Glenridding Dodd,193,NE,E,NY 381 176,1425,434
Gowbarrow Fell,180,NE,E,NY 407 218,1579,481
Grange Fell,198,NW,C,NY 264 163,1363,415
Grasmoor,20,NW,NW,NY 175 204,2791,851
Gray Crag,91,NE,FE,NY 427 119,2286,697
Graystones,190,NW,NW,NY177 264,1476,450
Great Borne,125,NW,W,NY 124 164,2019,615
Great Calva,95,NW,N,NY 291 312,2265,690
Great Carrs,42,SW,S,NY 270 009,2575,785
Great Cockup,158,NW,N,NY 273 333,1720,524
Great Crag,187,NW,C,NY 270 147,1500,457
Great Dodd,19,NE,E,NY 342 206,2807,856
Great End,5,SW,S,NY 227 083,2984,910
Great Gable,7,NW,W,NY 211 103,2949,899
Great Mell Fell,155,NE,E,NY 397 254,1760,536
Great Rigg,54,NE,E,NY 356 105,2513,766
Great Sca Fell,113,NW,N,NY 291 339,2131,650
Green Crag,176,SW,S,SD 200 983,1602,488
Green Gable,38,NW,W,NY214 107,2603,793
Grey Crag,118,SE,FE,NY 497 072,2093,638
Grey Friar,50,SW,S,NY 260 004,2536,773
Grey Knotts,90,NW,W,NY 217 126,2287,697
Grike,177,NW,W,NY 085 141,1596,486
Grisedale Pike,30,NW,NW,NY 198 226,2593,790
Hallin Fell,203,NE,FE,NY 433 198,1271,387
Hard Knott,148,SW,S,NY 232 024,1803,550
Harrison Stickle,71,SW,C,NY 282 074,2403,732
Hart Crag,27,NE,E,NY 369 112,2698,822
Hart Side,60,NE,E,NY 358 197,2481,756
Harter Fell (Eskdale),112,SW,S,SD 218 997,2140,652
Harter Fell (Martindale),59,SE,FE,NY 460 093,2539,774
Hartsop Above How,140,NE,E,NY 383 120,1870,570
Hartsop Dodd,126,NE,FE,NY 412 118,2018,615
Haycock,35,NW,W,NY 145 107,2618,798
Haystacks,135,NW,W,NY 193 132,1900,579
Helm Crag,201,SE,C,NY 326 093,1299,396
Helvellyn,3,NE,E,NY 342 152,3118,950
Hen Comb,170,NW,W,NY 132 181,1661,506
Heron Pike,127,SE,E,NY 356 083,2003,611
High Crag,64,NW,W,NY 180 141,2443,745
High Hartsop Dodd,162,NE,E,NY 394 108,1702,519
High Pike (Caldbeck),107,NE,N,NY 319 350,2157,658
High Pike (Scandale),108,SE,E,NY 374 088,2155,656
High Raise (Langdale),57,NW,C,NY 281 095,2500,762
High Raise (Mardale),31,NE,FE,NY 448 134,2634,803
High Rigg,209,NW,C,NY 308 220,1163,354
High Seat,128,NW,C,NY 287 180,1995,608
High Spy,109,NW,NW,NY 234 162,2143,653
High Stile,30,NW,W,NY 169 148,2644,806
High Street,25,NE,FE,NY 440 109,2718,828
High Tove,168,NW,C,NY 289 165,1665,507
Hindscarth,73,NW,NW,NY 216 165,2385,727
Holme Fell,213,SW,S,NY 315 006,1040,317
Hopegill Head,53,NW,NW,NY 185 222,2525,770
Ill Bell,62,SE,FE,NY 436 077,2476,755
Illgill Head,129,SW,S,NY 166 048,1983,604
Kentmere Pike,72,SE,FE,NY 466 078,2397,731
Kidsty Pike,46,NE,FE,NY 448 126,2560,780
Kirk Fell,33,NW,W,NY 195 105,2630,802
Knott,82,NW,N,NY 296 330,2329,710
Knott Rigg,150,NW,NW,NY 197 188,1790,546
Knott The,65,NE,FE,NY 092 120,2423,739
Lank Rigg,152,NW,W,NY 278 247,1775,541
Latrigg,206,NW,N,NY 180 286,1203,367
Ling Fell,205,NW,NW,NY 210 082,1224,373
Lingmell,29,SW,S,NY 303 046,2649,807
Lingmoor Fell,185,SW,S,NY 387 100,1530,466
Little Hart Crag,119,NE,E,NY 423 240,2091,637
Little Mell Fell,172,NE,E,NY 457 181,1657,505
Loadpot Hill,102,NE,FE,NY 277 071,2201,671
Loft Crag,93,SW,C,NY 249 284,2270,692
Long Side,70,NW,N,NY 276 354,2405,733
Longlands Fell,178,NW,N,NY 285 272,1580,482
Lonscale Fell,79,NW,N,NY 204 265,2344,714
Lord's Seat,146,NW,NW,NY 347 051,1811,552
Loughrigg Fell,211,SE,C,NY 137 226,1101,336
Low Fell,200,NW,W,NY 374 078,1360,415
Low Pike,171,SE,E,NY 237 182,1657,505
Maiden Moor,136,NW,NW,NY 447 101,1887,575
Mardale Ill Bell,59,NE,FE,NY 283 337,2496,761
Meal Fell,153,NW,N,NY 148 195,1770,539
Mellbreak,166,NW,W,NY 397 096,1676,511
Middle Dodd,116,SE,E,NY 151 072,2106,642
Middle Fell,134,SW,W,NY 312 292,1908,582
Mungrisedale Common,121,NE,N,NY 355 065,2068,630
Nab Scar,192,SE,E,NY 344 142,1450,442
NabThe,137,NE,FE,NY 211 214,1887,575
Nethermost Pike,9,NE,E,NY 285 080,2920,890
Outerside,141,NW,NW,NY 271 042,1863,568
Pavey Ark,89,SW,C,NY 274 074,2288,697
Pike O'Blisco,87,SW,S,NY 171 121,2304,702
Pike O'Stickle,83,SW,C,NY 405 169,2323,708
Pillar,8,NW,W,NY 343 174,2927,892
Place Fell,110,NE,FE,NY 442 128,2142,653
Raise,12,NE,E,NY 167 183,2889,881
Rampsgill Head,41,NE,FE,NY 303 187,2581,787
Rannerdale Knotts,210,NW,NW,NY 160 154,1160,354
Raven Crag,186,NW,C,NY 165 106,1520,463
Red Pike (Buttermere),61,NW,W,NY 396 087,2479,756
Red Pike (Wasdale),26,NW,W,NY 433 137,2707,825
Red Screes,48,SE,E,NY 202 169,2541,774
Rest Dodd,92,NE,FE,NY 249 076,2278,694
Robinson,67,NW,NW,NY 257 124,2417,737
Rossett Pike,117,SW,S,NY 198 202,2106,642
Rosthwaite Fell (Bessyboot),147,NW,S,NY 194 296,1807,551
Sail,52,NW,NW,NY 436 040,2530,771
Saint Sunday Crag,23,NE,E,NY 207 065,2756,840
Sale Fell,208,NW,NW,NY 215 072,1170,357
Sallows,164,SE,FE,NY 209 207,1691,515
Scafell,2,SW,S,NY 160 114,3162,964
Scafell Pike,1,SW,S,NY 343 114,3210,978
Scar Crags,101,NW,NW,NY 140 084,2205,672
Scoat Fell,22,NW,W,NY 229 102,2760,841
Seat Sandal,68,NE,E,NY 491 112,2415,736
Seatallan,94,SW,W,NY 286 089,2266,691
Seathwaite Fell,130,NW,S,NY 273 114,1970,600
Selside Pike,111,NE,FE,NY 369 182,2142,653
Sergeant Man,69,SW,C,NY 472 062,2414,736
Sergeants' Crag,139,NW,C,NY 324 066,1873,571
Sheffield Pike,97,NE,E,NY 260 291,2232,680
Shipman Knotts,132,SE,FE,NY 266 278,1926,587
Silver How,202,SW,C,NY 210 050,1292,394
Skiddaw,4,NW,N,NY 428 032,3054,931
Skiddaw Little Man,15,NW,N,NY 354 287,2837,865
Slight Side,58,SW,S,NY 369 134,2499,762
Sour Howes,183,SE,FE,NY 142 157,1568,478
Souther Fell,165,NE,N,NY 320 112,1680,512
Starling Dodd,120,NW,W,NY 440 181,2085,636
Steel Fell,145,NE,C,NY 157 117,1811,552
Steel Knotts,195,NE,FE,NY 348 092,1414,431
Steeple,28,NW,W,NY 343 190,2687,819
Stone Arthur,173,SE,E,NY 273 006,1652,504
Stybarrow Dodd,21,NE,E,NY 303 093,2770,844
Swirl How,34,SW,S,NY 488 078,2630,802
Tarn Crag (Easedale),149,SW,C,NY 437 127,1801,549
Tarn Crag (Longsleddale),104,SE,FE,NY 434 152,2176,663
Thornthwaite Crag,44,NE,FE,NY 431 100,2569,783
Thunacar Knott,76,SW,C,NY 279 080,2351,717
Troutbeck Tongue,207,SE,FE,NY 422 064,1191,363
Ullock Pike,99,NW,N,NY 244 287,2230,680
Ullscarf,75,NW,C,NY 292 122,2370,722
Walla Crag,204,NW,C,NY 276 213,1234,376
Wandope,51,NW,NW,NY 188 197,2533,772
Wansfell,181,SE,FE,NY 395 045,1579,481
Watson's Dodd,40,NE,E,NY 335 196,2584,788
Wether Hill,100,NE,FE,NY 455 167,2210,674
Wetherlam,56,SW,S,NY 288 011,2502,763
Whin Rigg,156,SW,S,NY 151 034,1755,535
Whinlatter,163,NW,NW,NY 197 249,1696,517
White Side,16,NE,E,NY 337 167,2832,863
Whiteless Pike,106,NW,NW,NY 180 189,2159,658
Whiteside,84,NW,NW,NY 170 220,2317,706
Yewbarrow,122,SW,W,NY 173 085,2058,627
Yoke,85,SE,FE,NY 438 068,2309,704
