Stock of Quasi Money By Country,Stock of quasi money,Updated,Rank
The stock of quasi money of Angola is,$10410000000,31-Dec-08,#56
The stock of quasi money of Ecuador is,$9790000000,31-Dec-08,#57
The stock of quasi money of Guatemala is,$9700000000,31-Dec-08,#58
The stock of quasi money of Uruguay is,$9409000000,31-Dec-08,#59
The stock of quasi money of Belarus is,$8784000000,31-Dec-08,#60
The stock of quasi money of Malta is,$8771000000,31-Jan-08,#61
The stock of quasi money of Lithuania is,$8731000000,31-Dec-09,#62
The stock of quasi money of Brunei is,$8151000000,30-Mar-09,#63
The stock of quasi money of Nepal is,$7490000000,1-Apr-09,#64
The stock of quasi money of Mauritius is,$6914000000,31-Dec-08,#65
The stock of quasi money of Bolivia is,$6339000000,31-Dec-08,#66
The stock of quasi money of Albania is,$6251000000,31-Dec-08,#67
The stock of quasi money of Yemen is,$6077000000,31-Oct-09,#68
The stock of quasi money of The Dominican Republic is,$5902000000,31-Dec-08,#69
The stock of quasi money of Bosnia and Herzegovina is,$5614000000,31-Dec-08,#70
The stock of quasi money of Honduras is,$5574000000,31-Dec-08,#71
The stock of quasi money of Latvia is,$5572000000,31-Dec-08,#72
The stock of quasi money of Estonia is,$5478000000,31-Dec-08,#73
The stock of quasi money of Kenya is,$5468000000,31-Dec-08,#74
The stock of quasi money of Iraq is,$5415000000,31-Dec-08,#75
The stock of quasi money of The West Bank is,$5251000000,31-Dec-08,#76
The stock of quasi money of The Cayman Islands is,$5230000000,31-Dec-08,#77
The stock of quasi money of The Bahamas is,$4637000000,31-Dec-08,#78
The stock of quasi money of Libya is,$4264000000,31-Dec-08,#79
The stock of quasi money of Jamaica is,$4244000000,31-Dec-08,#80
The stock of quasi money of Botswana is,$4183000000,31-Dec-08,#81
The stock of quasi money of Azerbaijan is,$4125000000,31-Dec-08,#82
The stock of quasi money of Barbados is,$3701000000,31-Dec-08,#83
The stock of quasi money of Trinidad and Tobago is,$3506000000,31-Dec-08,#84
The stock of quasi money of Iceland is,$3440000000,31-Dec-08,#85
The stock of quasi money of Tanzania is,$3362000000,31-Dec-08,#86
The stock of quasi money of Cambodia is,$3197000000,31-Dec-08,#87
The stock of quasi money of Costa Rica is,$3143000000,31-Dec-08,#88
The stock of quasi money of Macedonia is,$3132000000,31-Dec-08,#89
The stock of quasi money of Nicaragua is,$1810000000,31-Dec-08,#91
The stock of quasi money of Mozambique is,$1752000000,31-Dec-08,#92
The stock of quasi money of Papua New Guinea is,$1726000000,31-Dec-08,#93
The stock of quasi money of Zambia is,$1618000000,31-Dec-08,#94
The stock of quasi money of Georgia is,$1606000000,31-Dec-08,#95
The stock of quasi money of Paraguay is,$1599000000,31-Dec-08,#96
The stock of quasi money of Mongolia is,$1545000000,31-Dec-08,#97
The stock of quasi money of Uganda is,$1485000000,31-Dec-08,#98
The stock of quasi money of Afghanistan is,$1219000000,31-Dec-08,#99
The stock of quasi money of Namibia is,$1158000000,31-Dec-08,#100
The stock of quasi money of Laos is,$1080000000,31-Dec-08,#101
The stock of quasi money of Eritrea is,$1053000000,31-Dec-08,#102
The stock of quasi money of Suriname is,$1018000000,31-Dec-08,#103
The stock of quasi money of Armenia is,$950100000,31-Dec-08,#104
The stock of quasi money of Antigua and Barbuda is,$939900000,31-Dec-08,#105
The stock of quasi money of Aruba is,$890300000,31-Dec-08,#106
The stock of quasi money of Guyana is,$817600000,31-Dec-08,#107
The stock of quasi money of Saint Lucia is,$800100000,31-Dec-08,#108
The stock of quasi money of El Salvador is,$788700000,31-Dec-08,#109
The stock of quasi money of Cape Verde is,$721300000,31-Dec-08,#110
The stock of quasi money of Saint Kitts and Nevis is,$680600000,31-Dec-08,#111
The stock of quasi money of Madagascar is,$667200000,31-Dec-08,#112
The stock of quasi money of Belize is,$653800000,31-Dec-08,#113
The stock of quasi money of Grenada is,$578100000,31-Dec-08,#114
The stock of quasi money of Tajikistan is,$544000000,31-Dec-08,#115
The stock of quasi money of Maldives is,$488000000,31-Dec-08,#116
The stock of quasi money of Anguilla is,$449500000,31-Dec-08,#117
The stock of quasi money of Swaziland is,$441500000,31-Dec-08,#118
The stock of quasi money of Vanuatu is,$430000000,31-Dec-08,#119
The stock of quasi money of Djibouti is,$338000000,31-Dec-08,#120
The stock of quasi money of Saint Vincent and the Grenadines is,$302700000,31-Dec-08,#121
The stock of quasi money of Dominica is,$289900000,31-Dec-08,#122
The stock of quasi money of Rwanda is,$227400000,31-Dec-08,#123
The stock of quasi money of Burundi is,$189900000,31-Dec-08,#124
The stock of quasi money of Seychelles is,$188500000,31-Dec-08,#125
The stock of quasi money of Samoa is,$162800000,31-Dec-08,#126
The stock of quasi money of Lesotho is,$108100000,31-Dec-08,#127
The stock of quasi money of Tonga is,$100700000,31-Dec-08,#128
The stock of quasi money of The Solomon Islands is,$96790000,31-Dec-08,#129
The stock of quasi money of Timor-Leste is,$89880000,31-Dec-08,#130
The stock of quasi money of Montserrat is,$45420000,31-Dec-08,#131
The stock of quasi money of Comoros is,$41740000,31-Dec-08,#132
The stock of quasi money of Sao Tome and Principe is,$36950000,31-Dec-08,#133
