,Country Name:,Population,Area (Sq. Km.),Population Density (Sq. Km.),Area (Sq. Mi.),Population Density (Sq. Mi.)
6,Antigua & Barbuda,89000,443.00,200.90,171.04,520.34
152,Seychelles,85000,455.00,186.81,175.68,483.84
4,Andorra,84082,468.00,179.66,180.70,465.32
49,Dominica,67000,754.00,88.86,291.12,230.14
110,Marshall Islands,63000,181.00,348.07,69.88,901.49
144,Saint Kitts & Nevis,38960,261.00,149.27,100.77,386.61
100,Liechtenstein,35904,160.00,224.40,61.78,581.19
116,Monaco,33000,2.00,16500.00,0.77,42734.82
147,San Marino,32386,61.00,530.92,23.55,1375.07
132,Palau,20000,458.00,43.67,176.83,113.10
122,Nauru,10000,21.00,476.19,8.11,1233.33
178,Tuvalu,10000,26.00,384.62,10.04,996.15
187,Vatican City,800,1.00,800.00,0.39,2071.99
193,South Sudan,8260490,619745.00,13.32,239285.00,34.52
