World rank,City,Country,City population,Metro population,Mayor
218,MOGADISHU,Somalia,1500000,2500000,Mohamud Ahmed Tarzan
458,Mombasa,Kenia,880000,,Ahmed Abubakar Mohdhar
594,MONROVIA,Liberia,543000,1010000,Ophelia Hoff Saytumah
137,Monterrey,Mexico,2057000,3650000,Fernando Larrazabal
285,MONTEVIDEO,Uruguay,1326000,1723000,Ana Olivera
n/r,Montpellier,France,252000,,Hщlшne Mandroux-Colas
189,Montreal,Canada,1621000,3636000,Gщrald Tremblay
10,MOSCOW,Russia,10524000,14800000,Sergei Sobyanin
348,Mosul,Iraq,1139000,1139000,n/k
402,Mudanjiang,China,1014000,2707000,n/k
243,Multan,Pakistan,1424000,1500000,Mian Faisal Mukhtar
3,Mumbai (Bombay),India,13900000,21200000,Shraddha Jadhav
271,Munich,Germany,1367000,2600000,Christian Ude
n/r,M№nster,Germany,274000,,Markus Lewe
501,Mysore,India,799000,,Purushotham
125,Nagoya,Japan,2260000,9250000,Takashi Kawamura
117,Nagpur,India,2420000,,Archana Dehankar
74,NAIROBI,Kenya,3130000,3300000,Geoffrey Majiwa
224,Nanan,China,1480000,,Chen Law
154,Nanchang,China,1844000,3.790000,Hu Xian
144,Nanchong,China,1950000,7300000,Liu Hongjian
51,Nanjing,China,4150000,7600000,Ji Jianye
115,Nanning,China,2450000,6480000,Huang Fangfang
n/r,Nantes,France,283000,804000,Jean-Marc Ayrault
500,Nanyang,China,800000,10700000,Huang Xingwei
423,Naples,Italy,963000,3000000,Rosa Russo Jervolino
190,Nashik,India,1620000,,Nayana Gholap
565,Nashville,USA,626000,1633000,Karl Dean
503,Natal,Brazil,790000,1100000,n/k
478,Naucalpan,Mexico,822000,835000,Azucena Olivares Villagєmez
201,Neijiang,China,1560000,,n/k
n/r,New Orleans,USA,488000,1350000,Mitch Landrieu
17,New York City,USA,8364000,20090000,Michael Bloomberg
n/r,Newcastle upon Tyne,UK,234000,800000,n/k
346,Nezahualcoyotl,Mexico,1141000,1150000,Edgar Cesсreo Navarro Sсnchez
n/r,Nice,France,347000,943000,Christian Estrosi
486,Niigata,Japan,812000,,Akira Shinoda
130,Ningbo,China,2201000,5600000,Mao Guanglie
304,Nizhniy Novgorod,Russia,1280000,1900000,Vadim Bulavinov
466,Norfolk,USA,850000,1616000,Paul D Fraim
469,Nova Iguacu,Brazil,846000,959000,Lindberg Farias
258,Novosibirsk,Russia,1396000,1429000,Vladimir Gorodetsky
n/r,Nuremberg,Germany,504000,1008000,Ulrich Maly
n/r,Oakland,USA,446900,,Jean Quan
n/r,Oberhausen,Germany,216000,,Klaus Wehling
377,Odessa,Ukraine,1080000,1200000,Eduard Gurwits
527,Ogbomosho,Nigeria,726000,985000,n/k
539,Okayama,Japan,700000,1250000,Shigeo Takaya
n/r,Okinawa,Japan,129000,,Kita Kurose
588,Oklahoma City,USA,551000,1276000,Mick Cornett
118,Omdurman,Sudan,2400000,,Al-Fatih Az-ddin
350,Omsk,Russia,1137000,1145000,Viktor Shreyder
n/r,Onitsha,Nigeria,509000,1001000,n/k
547,Oran,Algeria,683000,772000,Saddek Benkada
n/r,Orlando,USA,231000,2055000,Buddy Dyer
95,Osaka,Japan,2647000,17590000,Kunio Hiramatsu
n/r,Osh,Kyrgyztan,230000,,Melis Myrzakmatov
n/r,Oshogbo,Nigeria,421000,1309000,n/k
575,OSLO,Norway,584000,876000,Fabian Stang
483,OTTAWA,Canada,815000,1131000,Larry O'Brien
225,OUAGADOUGOU,Burkina Faso,1475000,1727000,Simon Compaorщ
481,Padang,Indonesia,820000,900000,Fauzi Bahar
195,Palembang,Indonesia,1600000,,Eddy Santana Putra
546,Palermo,Italy,684000,947000,Diego Cammarata
467,PANAMA CITY,Panama,850000,1220000,Bosco Vallarino
n/r,Panzhihua,China,478000,771000,n/k
133,PARIS,France,2113000,11769000,Bertrand Delanoы
160,Patna,India,1800000,2500000,GhanShyam Kumar
404,Perm,Russia,1010000,1200000,Igor Shubin
193,Perth,Australia,1603000,,Lisa Scaffidi
367,Peshawar,Pakistan,1100000,3100000,Muhammad Umar Khan
205,Philadelphia,USA,1540000,5345000,Michael Nutter
314,PHNOM PENH,Cambodia,1242000,2001000,Keb Chutema
199,Phoenix,USA,1568000,4282000,Phil Gordon
325,Pikine-Guediawaye,Senegal,1200000,,n/k
213,Pimpri Chinchwad,India,1515000,,Yogesh Behl
316,Pingdingshan,China,1230000,5200000,Deng Yongjian
281,Pingdu,China,1340000,,n/k
n/r,Pittsburgh,USA,335000,2411000,Luke Ravenstahl
n/r,Pointe Noire,Congo Br,527000,789000,n/k
471,Port Elizabeth,South Africa,833000,1245000,Nondumiso Maphasi
94,Port Harcourt,Nigeria,2667000,3761000,Azubuike Nmerukini
376,PORT-AU-PRINCE,Haiti,1083000,1728000,Jean Yves Jason
596,Portland,USA,542000,2255000,Sam Adams
n/r,Porto,Portugal,263000,1210000,Rui Rio
273,Porto Alegre,Brazil,1355000,3646000,Josщ Fortunati
315,PRAGUE,Czech Republic,1242000,1900000,Zdenek Tuma
150,Puebla,Mexico,1888000,2500000,Blanca Alcala Ruiz
71,Pune,India,3337000,4470000,Mohansingh Rajpal
72,PYONGYANG,North Korea,3255000,3400000,n/k
330,Qianjiang,China,1190000,,n/k
342,Qidong,China,1160000,,n/k
88,Qingdao,China,2755000,7580000,Xia Geng
240,Qiqihaer,China,1439000,6011000,Liu Gang
393,Qom,Iran,1042000,,n/k
220,Quanzhou,China,1490000,7790000,Zhu Ming
n/r,Quщbec,Canada,495000,717000,Rщgis Labeaume
92,Quezon City,Philippines,2680000,,Herbert M Bautis
187,QUITO,Ecuador,1648000,1842000,Augusto Barrera
564,RABAT,Morocco,627000,1790000,Omar El Bahraoui
283,Rajkot,India,1336000,,Sandhya Vyas
n/r,Raleigh,USA,393000,1691000,Charles Meeker
298,Ranchi,India,1290000,,Rama Khalkho
202,Rawalpindi,Pakistan,1558000,2548000,Raja Hamid Nawaz
200,Recife,Brazil,1561000,3769000,Joуo da Costa Bezerra Filho
n/r,Rennes,France,206000,,Daniel Delaveau
591,Ribeirao Preto,Brazil,547000,789000,Dсrcy Vera
n/r,Richmond,USA,200000,1213000,Dwight Clinton Jones
528,RIGA,Latvia,725000,878000,Nils Usakovs
31,Rio de Janeiro,Brazil,6093000,14387000,Eduardo Paes
40,RIYADH,Saudi Arabia,4950000,5855000,Abdul Aziz ibn 'Ayyaf Al Migrin
299,Rizhao,China,1290000,,Zhao Xiaowei
n/r,Rochester,USA,220000,1100000,n/k
90,ROME,Italy,2732000,3555000,Gianni Alemanno
343,Rosario,Argentina,1160000,1358000,Miguel Lifschitz
n/r,Rostock,Germany,201000,,Roland Methling
382,Rostov on Don,Russia,1068000,1250000,Mikhail Chernyshyov
572,Rotterdam,Netherlands,590000,1187000,Ahmed Aboutaleb
232,Rugao,China,1453000,,Ding Dawei
311,Ruian,China,1250000,,n/k
