Svalbard (NO),Svalbard,Europe,Longyearbyen,+1
Swaziland (Souaziland),Swaziland,Afrique,Mbabane; Lobamba,+2
Syrie,Syria,Moyen-Orient,Damascus,+3
T,Nom en anglais,Endroit,Capitale,Heure
Tadjikistan,Tajikistan,Asie,Dushanbe,+6
Tahiti (FR) (voir Polynщsie Franчaise),Tahiti,Ocщanie,,
Tanzanie,Tanzania,Afrique,Dar es-Salaam,+3
Tchad,Chad,Afrique,N'Djamena,+1
Togo,Togo,Afrique,Lome,0
Trinitщ et Tobago,Trinidad & Tobago,Amщrique Centrale,Port-of-Spain,-4
Tunisie,Tunisia,Afrique,Tunis,+1
Turkmщnistan,Turkmenistan,Asie,Ashgabat,+5
Turquie,Turkey,Asie,Ankara,+2
Tuvalu,Tuvalu,Ocщanie,Funafuti,+12
U,Nom en anglais,Endroit,Capitale,Heure
Ukraine,Ukraine,Europe,Kiev,+2
Uruguay,Uruguay,Amщrique du Sud,Montevideo,-3
V,Nom en anglais,Endroit,Capitale,Heure
Vanuatu,Vanuatu,Ocщanie,Port-Vila,+11
Vatican ╔tat du,Vatican City State,Europe,Vatican City,+1
Venezuela,Venezuela,Amщrique du Sud,Caracas,-4
Viшt-nam,Vietnam,Asie,Hanoi,
W,Nom en anglais,Endroit,Capitale,Heure
Wallis & Futuna (FR),Wallis & Futuna,Ocщanie,Mata-Utu,
X-Y-Z,Nom en anglais,Endroit,Capitale,Heure
Yщmen,Yemen,Moyen-Orient,Sanaa,+3
Yougoslavie (voir Macщdoine),Yugoslavia,Europe,,
Zaяre,Zaire,Afrique,Kinshasa,+2
Zambie,Zambia,Afrique,Lusaka,+2
Zimbabwe,Zimbabwe,Afrique,Harare,+2
