World rank,City,Country,City population,Metro population,Mayor
324,Maiduguri,Nigeria,1200000,1200000,n/k
389,Benin,Nigeria,1051000,1052000,n/k
450,Zaria,Nigeria,898000,,n/k
509,ABUJA,Nigeria,779000,900000,Muhammad Adamu Aliero
527,Ogbomosho,Nigeria,726000,985000,n/k
n/r,Onitsha,Nigeria,509000,1001000,n/k
n/r,Oshogbo,Nigeria,421000,1309000,n/k
72,PYONGYANG,North Korea,3255000,3400000,n/k
479,Hamhung,North Korea,821000,821000,n/k
575,OSLO,Norway,584000,876000,Fabian Stang
511,Masqat-Matrah,Oman,776000,776000,n/k
1,Karachi,Pakistan,15500000,18000000,Fazlur Rehman
30,Lahore,Pakistan,6100000,8600000,Mian Amir Mahmood
107,Faisalabad,Pakistan,2510000,5081000,Rana Zahid Tauseef
202,Rawalpindi,Pakistan,1558000,2548000,Raja Hamid Nawaz
237,Hyderabad,Pakistan,1447000,1500000,Kanwar Naveed Jamil
243,Multan,Pakistan,1424000,1500000,Mian Faisal Mukhtar
249,Gujranwala,Pakistan,1416000,1900000,Fayyaz Ahmad Chattha
367,Peshawar,Pakistan,1100000,3100000,Muhammad Umar Khan
n/r,Gaza,Palestine,410000,1000000,n/k
467,PANAMA CITY,Panama,850000,1220000,Bosco Vallarino
592,ASUNCION,Paraguay,546000,1433000,Evangelista Troche de Gallegos
22,LIMA,Peru,7606000,8473000,Susana Villaran
443,Arequipa,Peru,905000,,Simєn Balbuena Marroquэn
7,MANILA METRO,Philippines,11550000,13503000,Alfredo S Lim
92,Quezon City,Philippines,2680000,,Herbert M Bautis
267,Caloocan,Philippines,1379000,,Enrico Echiverri
272,Davao City,Philippines,1363000,,Inday Sara Duterte-Carpio
520,Cebu City,Philippines,747000,1198000,Tomas R Osmena
176,WARSAW,Poland,1712000,3350000,Hanna Gronkiewicz-Waltz
506,Lodz,Poland,783000,1429000,Jerzy Kropiwickni
519,Krakow,Poland,755000,1250000,Jacek Majchrowski
n/r,Gdansk,Poland,457000,866000,Pawel Adamowicz
n/r,Katowice,Poland,340000,2746000,Piotr Uszok
587,LISBON,Portugal,558000,2612000,Antєnio Costa
n/r,Porto,Portugal,263000,1210000,Rui Rio
n/r,SAN JUAN,Puerto Rico,442000,2500000,Jorge A. Santini Padilla
140,BUCHAREST,Romania,1994000,2151000,Sorin Oprescu
10,MOSCOW,Russia,10524000,14800000,Sergei Sobyanin
43,St Petersburg,Russia,4661000,4900000,Valentina Matviyenko
258,Novosibirsk,Russia,1396000,1429000,Vladimir Gorodetsky
286,Ekaterinburg,Russia,1323000,1389000,Eugene Porunov
304,Nizhniy Novgorod,Russia,1280000,1900000,Vadim Bulavinov
344,Samara,Russia,1160000,1500000,Viktor Tarkhov
350,Omsk,Russia,1137000,1145000,Viktor Shreyder
359,Kazan,Russia,1115000,1300000,lsur Metshin
371,Chelyabinsk,Russia,1092000,1200000,Mikhail Yurevich
382,Rostov on Don,Russia,1068000,1250000,Mikhail Chernyshyov
398,Ufa,Russia,1023000,1050000,Pavel Kachkayev
403,Volgograd,Russia,1012000,1292000,Roman Grebennikov
404,Perm,Russia,1010000,1200000,Igor Shubin
439,Krasnoyarsk,Russia,920000,950000,Pyotr Pimashkov
468,Voronezh,Russia,849000,950000,Sergey Koliukh
472,Saratov,Russia,831000,1100000,Vyacheslav Leonovich Somov
534,Krasnodar,Russia,710000,780000,Vladimir Yevlanov
