Rank,Name,Score
91,kirkub,4372 points
92,jetxx,4370 points
93,jetxx,4369 points
94,Bhawk1357,4367 points
95,jetxx,4361 points
96,mustangkid67,4360 points
97,jetxx,4360 points
98,66witches,4359 points
99,mvp1965,4359 points
100,steer240,4357 points
101,Wutrain,4357 points
102,kirkub,4356 points
103,TREBOL,4355 points
104,Veeba,4355 points
105,blueheaven79,4355 points
106,mistydolphin,4354 points
107,mustangkid67,4354 points
108,mistydolphin,4353 points
109,scorpio46,4353 points
110,kirkub,4352 points
111,mistydolphin,4350 points
112,steer240,4349 points
113,mistydolphin,4349 points
114,wasamata,4348 points
115,Reiuxkat,4347 points
116,Bhawk1357,4347 points
117,1sja,4347 points
118,blueheaven79,4347 points
119,steer240,4346 points
120,mistydolphin,4346 points
121,mistydolphin,4346 points
122,1sja,4346 points
123,Honeybee95,4345 points
124,kirkub,4344 points
125,trustintuna,4343 points
126,Seventhirty2,4342 points
127,mistydolphin,4340 points
128,mustangkid67,4340 points
129,dmartin571,4337 points
130,Chude2,4336 points
131,kmd888,4335 points
132,Chude2,4334 points
133,adzmom,4334 points
134,Bhawk1357,4334 points
135,Winekitty07,4331 points
136,mush22,4331 points
137,mtstud54,4330 points
138,Lostdiver,4329 points
139,mtstud54,4329 points
140,mistydolphin,4328 points
141,Honeybee95,4328 points
142,Veeba,4328 points
143,mustangkid67,4327 points
144,jeanne917,4326 points
145,mtstud54,4326 points
146,scorpio46,4325 points
147,mistydolphin,4323 points
148,Luv2Laf,4323 points
149,Seventhirty2,4322 points
150,MARTIKAYE,4322 points
151,1sja,4321 points
152,Reiuxkat,4317 points
153,Bhawk1357,4317 points
154,Lostdiver,4316 points
155,Reiuxkat,4314 points
156,mustangkid67,4314 points
157,mustangkid67,4314 points
158,farley49,4314 points
159,Luv2Laf,4313 points
160,swissone,4310 points
161,Reiuxkat,4310 points
162,Bhawk1357,4310 points
163,Luv2Laf,4310 points
164,Veeba,4309 points
165,kjerstis,4309 points
166,blueheaven79,4308 points
167,mtstud54,4307 points
168,Chude2,4307 points
169,3Grandones,4307 points
170,trustintuna,4307 points
171,bobber99,4306 points
172,Alotchka,4305 points
173,mistydolphin,4304 points
174,mustangkid67,4304 points
175,mustangkid67,4303 points
176,wasamata,4302 points
177,momsdiamonds,4302 points
178,Bhawk1357,4301 points
179,scorpio46,4301 points
180,farley49,4301 points
181,Crabbler,4300 points
182,mistydolphin,4300 points
183,Winekitty07,4299 points
184,Veeba,4299 points
185,jetxx,4299 points
186,daisyaday,4299 points
187,namreknat,4299 points
188,marquiscwix1,4298 points
189,JMarMcD,4298 points
190,1sja,4297 points
191,Bhawk1357,4297 points
192,Winekitty07,4297 points
193,Veeba,4296 points
194,Reiuxkat,4295 points
195,scorpio46,4295 points
196,Veeba,4295 points
197,Reiuxkat,4294 points
198,Lostdiver,4294 points
199,Honeybee95,4293 points
200,Veeba,4293 points
201,1mistydolphin,4293 points
202,1sja,4293 points
203,Wutrain,4293 points
204,mistydolphin,4292 points
205,mustangkid67,4292 points
206,trustintuna,4292 points
207,Luv2Laf,4292 points
208,kmd888,4292 points
209,kmd888,4292 points
210,scorpio46,4291 points
211,Reiuxkat,4291 points
212,jetxx,4291 points
213,jetxx,4291 points
214,jeanne917,4291 points
215,steer240,4290 points
216,mistydolphin,4290 points
217,Honeybee95,4290 points
218,1sja,4290 points
219,1sja,4290 points
220,scorpio46,4289 points
221,Veeba,4289 points
222,JMarMcD,4289 points
223,Reiuxkat,4289 points
224,scorpio46,4289 points
225,mvp1965,4289 points
226,scorpio46,4288 points
227,farley49,4288 points
228,daisyaday,4288 points
229,Veeba,4287 points
230,tk72,4287 points
231,Luv2Laf,4287 points
232,Seventhirty2,4286 points
233,jeanne917,4286 points
234,mistydolphin,4286 points
235,Chude2,4285 points
236,dmartin571,4285 points
237,Reiuxkat,4284 points
238,Veeba,4284 points
239,mustangkid67,4284 points
240,Honeybee95,4283 points
241,daisyaday,4282 points
242,Bhawk1357,4281 points
243,Winekitty07,4281 points
244,1mistydolphin,4281 points
245,jeanne917,4281 points
246,csdesq,4281 points
247,mustangkid67,4280 points
248,steer240,4279 points
249,Veeba,4279 points
250,coastalhoosier,4279 points
251,Veeba,4277 points
252,adzmom,4277 points
253,mtstud54,4277 points
254,doublehelix23,4277 points
255,jetxx,4276 points
256,kirkub,4275 points
257,farley49,4275 points
258,Luv2Laf,4275 points
259,marmozet13,4275 points
260,mistydolphin,4274 points
261,mustangkid67,4274 points
262,kirkub,4274 points
263,1sja,4274 points
264,mustangkid67,4274 points
265,1sja,4274 points
266,mustangkid67,4274 points
267,bjperkins,4274 points
268,TREBOL,4273 points
269,1sja,4273 points
270,Seventhirty2,4271 points
271,TREBOL,4271 points
272,jetxx,4271 points
273,blueheaven79,4271 points
274,Bhawk1357,4270 points
275,jetxx,4270 points
276,Lostdiver,4270 points
277,farley49,4270 points
278,marquiscwix1,4269 points
279,kirkub,4269 points
280,Chude2,4268 points
281,mistydolphin,4268 points
282,scorpio46,4267 points
283,MOLLYMOO,4267 points
284,lynnble,4267 points
285,jcherring,4266 points
286,BHawk1357,4266 points
287,coastalhoosier,4266 points
288,Reiuxkat,4265 points
289,mtstud54,4265 points
290,1sja,4264 points
291,1sja,4262 points
292,jeanne917,4262 points
293,mustangkid67,4262 points
294,1sja,4262 points
295,kmd888,4262 points
296,blueheaven79,4262 points
297,Chude2,4261 points
298,BHawk1357,4261 points
299,Honeybee95,4260 points
300,Veeba,4260 points
301,Veeba,4259 points
302,flsnorter1,4259 points
303,kmd888,4259 points
304,mtstud54,4259 points
305,Seventhirty2,4258 points
306,Bhawk1357,4258 points
307,kmd888,4258 points
308,1sja,4257 points
309,mustangkid67,4257 points
310,steer240,4256 points
311,Bhawk1357,4256 points
312,trustintuna,4256 points
313,TREBOL,4255 points
314,MARTIKAYE,4255 points
315,1sja,4254 points
316,kirkub,4254 points
317,n4ceraa,4254 points
318,1sja,4253 points
319,blueheaven79,4253 points
320,adzmom,4253 points
321,1sja,4253 points
322,mistydolphin,4252 points
323,1sja,4251 points
324,scorpio46,4250 points
325,mistydolphin,4250 points
326,QuackersII,4250 points
327,Bhawk1357,4250 points
328,jeanne917,4249 points
329,steer240,4248 points
330,mtstud54,4248 points
331,CarlitoBKK,4247 points
332,Bhawk1357,4247 points
333,TREBOL,4247 points
334,kmd888,4247 points
335,mtstud54,4247 points
336,Reiuxkat,4246 points
337,Winekitty07,4246 points
338,carosul,4246 points
339,trustintuna,4246 points
340,farley49,4246 points
341,kirkub,4246 points
342,Bhawk1357,4246 points
343,jetxx,4246 points
344,jetxx,4245 points
345,1sja,4245 points
346,Winekitty07,4243 points
347,Veeba,4243 points
348,Veeba,4242 points
349,1sja,4242 points
350,mistydolphin,4241 points
351,Honeybee95,4241 points
352,indigo369,4241 points
353,swissone,4240 points
354,Luv2Laf,4240 points
355,tiger82743,4238 points
356,Winekitty07,4238 points
357,Crabbler,4238 points
358,TREBOL,4238 points
359,Luv2Laf,4238 points
360,tiger82743,4238 points
361,jetxx,4237 points
362,Chude2,4236 points
363,mustangkid67,4236 points
364,kmd888,4236 points
365,mustangkid67,4236 points
366,wasamata,4236 points
367,mustangkid67,4236 points
368,BHawk1357,4236 points
369,1sja,4235 points
370,Veeba,4233 points
371,Reiuxkat,4232 points
372,Bhawk1357,4232 points
373,kmd888,4232 points
374,1sja,4231 points
375,marquiscwix1,4230 points
376,windytoo,4230 points
377,jetxx,4229 points
378,Veeba,4229 points
379,bjperkins,4229 points
380,Chude2,4228 points
381,1sja,4228 points
382,bjperkins,4228 points
383,Velcro1,4226 points
384,kirkub,4226 points
385,JMarMcD,4226 points
386,1sja,4226 points
387,TREBOL,4226 points
388,steer240,4225 points
389,jcherring,4225 points
390,QuackersII,4225 points
391,blueheaven79,4224 points
392,trustintuna,4224 points
393,kirkub,4224 points
394,Chude2,4223 points
395,tiger82743,4223 points
396,Puzlar,4222 points
397,Luv2Laf,4222 points
398,Seventhirty2,4221 points
399,mustangkid67,4221 points
400,mtstud54,4221 points
401,Crabbler,4220 points
402,adzmom,4220 points
403,66witches,4219 points
404,Reiuxkat,4219 points
405,mustangkid67,4219 points
406,jetxx,4219 points
407,dmartin571,4218 points
408,mistydolphin,4217 points
409,mustangkid67,4217 points
410,mustangkid67,4217 points
411,Daizy19,4216 points
412,indigo369,4216 points
413,Veeba,4216 points
414,Seventhirty2,4215 points
415,kirkub,4215 points
416,jetxx,4214 points
417,Veeba,4214 points
418,Crabbler,4213 points
419,Seventhirty2,4213 points
420,bozo13a,4213 points
421,flsnorter1,4212 points
422,wasamata,4212 points
423,Crabbler,4212 points
424,MARTIKAYE,4211 points
425,Bhawk1357,4211 points
426,trustintuna,4211 points
427,123raym,4211 points
428,Honeybee95,4210 points
429,n4ceraa,4210 points
430,steer240,4210 points
431,kirkub,4210 points
432,kirkub,4210 points
433,kchumerbird,4210 points
434,Bhawk1357,4209 points
435,jeanne917,4209 points
436,bjperkins,4209 points
437,marquiscwix1,4208 points
438,jcherring,4208 points
439,Reiuxkat,4208 points
440,Alotchka,4207 points
441,trustintuna,4207 points
442,kirkub,4207 points
443,9dollface,4207 points
444,Winekitty07,4207 points
445,1sja,4205 points
446,wasamata,4205 points
447,Crabbler,4205 points
448,Reiuxkat,4204 points
449,farley49,4204 points
450,Crabbler,4204 points
451,1sja,4203 points
452,3Grandones,4203 points
453,kirkub,4203 points
454,mistydolphin,4202 points
455,scorpio46,4202 points
456,mistydolphin,4202 points
457,bjperkins,4202 points
458,jetxx,4201 points
459,trustintuna,4201 points
460,n4ceraa,4201 points
461,TREBOL,4200 points
462,1sja,4200 points
463,mistydolphin,4200 points
464,scorpio46,4200 points
465,MARTIKAYE,4200 points
466,mustangkid67,4200 points
467,bjperkins,4200 points
468,Grizzlyboar,4200 points
469,Luv2Laf,4200 points
470,BHawk1357,4200 points
471,n4ceraa,4199 points
472,1sja,4199 points
473,trustintuna,4199 points
474,namreknat,4199 points
475,carosul,4197 points
476,mtstud54,4197 points
477,Crabbler,4197 points
478,Chude2,4196 points
479,1mistydolphin,4196 points
480,mtstud54,4196 points
481,farley49,4196 points
482,CarlitoBKK,4195 points
483,Veeba,4195 points
484,swissone,4195 points
485,flsnorter1,4194 points
486,Seventhirty2,4194 points
487,jetxx,4194 points
488,dishman1963,4193 points
489,n4ceraa,4193 points
490,Crabbler,4192 points
491,MARTIKAYE,4191 points
492,steer240,4191 points
493,mistydolphin,4191 points
494,bjperkins,4191 points
495,1sja,4190 points
496,jetxx,4189 points
497,mistydolphin,4189 points
498,Veeba,4189 points
499,trustintuna,4189 points
500,bigalp45,4188 points
