World rank,City,Country,City population,Metro population,Mayor
167,Shantou,China,1770000,4972000,Cai Zong Ze
599,Sheffield,UK,535000,640000,Paul Scriven
37,Shenyang,China,5090000,7760000,Li Yingjie
50,Shenzhen,China,4320000,8616000,Xy Qin
97,Shijiazhuang,China,2630000,9600000,Ai Wenli
318,Shiraz,Iran,1228000,1300000,Mehran E'temad
530,Shizuoka,Japan,718000,1211000,Zenkichi Kojima
455,Sholapur,India,890000,890000,n/k
373,Shouguang,China,1090000,,n/k
39,SINGAPORE,Singapore,4988000,,Lee Hsien Loong
252,SOFIA,Bulgaria,1403000,1455000,Yordanka Fandukova
351,Solapur,India,1134000,,Aruna Vakase
445,Songzi,China,905000,,n/k
436,Soweto,South Africa,923000,,Amos Masondo (Johannesburg)
440,Srinagar,India,915000,1050000,Salman Sagar
43,St Petersburg,Russia,4661000,4900000,Valentina Matviyenko
n/r,St. Louis,USA,372000,2850000,Francis G Slay
475,STOCKHOLM,Sweden,826000,1252000,Sten Nordin
n/r,Strasbourg,France,273000,639000,Roland Rie
570,Stuttgart,Germany,600000,2330000,Wolfgang Schuster
412,Subra al-Haymah,Egypt,998000,,n/k
262,Suining,China,1385000,3500000,n/k
181,Suizhou,China,1680000,,Li Hongyun
77,Surabaya,Indonesia,3100000,3700000,Bambang D H
600,Surakarta,Indonesia,533000,857000,n/k
34,Surat,India,5390000,6347000,Rajendra Desai
375,Suwon,South Korea,1087000,,n/k
119,Suzhou,China,2383000,6298000,Yan Li
161,Suzhou Anhui,China,1800000,5600000,Tang Chengpei
48,Sydney,Australia,4400000,,Clover Moore
248,Tabriz,Iran,1420000,,Alireza Novin
186,Taian,China,1650000,5500000,Li Hongfeng
384,Taichung,Taiwan,1065000,2700000,Jason Hu
512,Tainan,Taiwan,769000,785000,Hsu Tain-tsair
98,TAIPEI,Taiwan,2620000,6753000,Hau Lung-pin
381,Taishan,China,1070000,,n/k
274,Taixing,China,1355000,,Gao Yazi
103,Taiyuan,China,2550000,3400000,Zhang Bingsheng
210,Taizhou,China,1528000,5741000,Wu Weirong
n/r,TALLINN,Estonia,407000,,Edgar Savisaar
n/r,Tampa,USA,341000,2700000,Pam Iorio
n/r,Tampico,Mexico,319000,775000,n/k
203,Tangerang,Indonesia,1545000,,Wahidin Halim
536,Tangier,Morocco,710000,,n/k
142,Tangshan,China,1980000,7100000,Zhang Guodong
132,TASHKENT,Uzbekistan,2180000,3400000,Abdukahar Tuhtayev
221,TBILISI,Georgia,1490000,1550000,Giorgi Ugulava
n/r,Tegal,Indonesia,238000,784000,n/k
326,Tegucigalpa,Honduras,1200000,1324000,Ricardo Alvarez
16,TEHRAN,Iran,8430000,13450000,Mohammad Bagher Ghalibaf
n/r,TEL AVIV,Israel,383000,3250000,Ron Huldai
170,Tengzhou,China,1750000,,Du Yongguang
453,Teresina,Brazil,893000,949000,Silvio Mendes
268,Thane,India,1375000,,Ashjok Vaity
n/r,The Hague,Netherlands,486000,1011000,Van Aartsen
n/r,Thessaloniki,Greece,407000,798000,Vasilis Papageorgopoulos
488,Thiruvananthapuram,India,810000,955000,C Jayan Babu
24,Tianjin,China,7500000,11750000,Huang Xingguo
165,Tianmen,China,1790000,,n/k
188,Tianshui,China,1630000,3450000,Li Wenqing
222,Tijuana,Mexico,1484000,1500000,Carlos Bustamante
517,Tiruchchirappalli,India,760000,863000,n/k
545,Tlalnepantla de Baz,Mexico,685000,800000,Arturo Ugalde Meneses
15,TOKYO,Japan,8653000,31036000,Shintaro Ishihara
505,Toluca,Mexico,785000,1650000,Maria Elena Barrera Tapia
257,Tongzhou,China,1400000,,Ding Dawei
101,Toronto,Canada,2571000,5100000,Rob Ford
410,Torreon,Mexico,1001000,,Eduardo Olmos Castro
n/r,Toulouse,France,438000,851000,Pierre Cohen
179,TRIPOLI,Libya,1683000,2270000,Abdullatif Abdulrahman Aldaali
209,TSHWANE (PRETORIA),South Africa,1530000,2346000,Gwen Ramokgopa
597,Tucson,USA,542000,720000,Bob Walkup
n/r,Tucuman,Argentina,528000,830000,Domingo Amaya
n/r,Tulsa,USA,399000,813000,Dewey F. Bartlett Jr
327,TUNIS,Tunisia,1200000,3980000,Abbшs Mohsen
442,Turin,Italy,910000,1617000,Sergio Chiamparino
398,Ufa,Russia,1023000,1050000,Pavel Kachkayev
338,Ujung Pandang,Indonesia,1170000,1254000,n/k
364,ULAANBAATAR,Mongolia,1108000,,n/k
356,Ulsan,South Korea,1127000,,Bak Maeng-woo
162,Urumqi,China,1800000,2680000,Jerla Isamudin
219,Vadodara,India,1500000,3642000,Balakrishna Shukla
489,Valencia,Spain,810000,1720000,Rita Barberс Nolla
328,Valencia,Venezuela,1200000,1750000,Edgardo Parra
n/r,Valparaiso,Chile,301000,904000,Aldo Cornej
580,Vancouver,Canada,580000,2120000,Gregor Robertson
269,Varanasi,India,1375000,3150000,Kaushalendra Singh
n/r,Vereeniging,South Africa,385000,774000,n/k
180,VIENNA,Austria,1681000,2269000,Michael Hфupl
428,Vijayawada,India,957000,1150000,Ratna Bindu
593,VILNIUS,Lithuania,545000,,Vilius Navickas
421,Visakhapatnam,India,970000,1330000,B N Vishnu
n/r,Vitoria,Brazil,313000,1628000,Joуo Carlos Coser
403,Volgograd,Russia,1012000,1292000,Roman Grebennikov
468,Voronezh,Russia,849000,950000,Sergey Koliukh
368,Wafangdian,China,1100000,,n/k
176,WARSAW,Poland,1712000,3350000,Hanna Gronkiewicz-Waltz
571,WASHINGTON DC,USA,600000,5300000,Vincent Gray
235,Weifang,China,1450000,8500000,Xu Liquan
435,Weinan,China,925000,,n/k
n/r,Wiesbaden,Germany,277000,,Helmut M№ller
46,Wuhan,China,4500000,6200000,Ruan Chengfa
422,Wujiang,China,970000,1500000,n/k
n/r,Wuppertal,Germany,353000,,Peter Jung
171,Wuxi,China,1750000,2230000,Mao Xiaoping
112,Xiamen,China,2490000,,Liu Cigui
93,Xian,China,2670000,4480000,Chen Baogen
533,Xining,China,713000,894000,n/k
223,Xintai,China,1480000,,Liu Daqun
230,Xinyang,China,1460000,,Guo Ruimin
156,Xuzhou,China,1830000,9410000,Cao Xinping
47,Yangon,Myanmar (Burma),4468000,5.500000,Aung Thein Lynn
163,Yantai,China,1800000,6500000,Zhang Jiangting
242,YAOUND╔,Cameroon,1430000,1550000,n/k
365,YEREVAN,Armenia,1108000,1246000,Gagik Beglaryan
400,Yichun,China,1020000,958000,Gong Jianhua
293,Yiyang,China,1300000,4500000,n/k
n/r,Yogyakarta,Indonesia,417000,840000,n/k
59,Yokohama,Japan,3655000,,Fumiko Hayashi
279,Yongcheng,China,1347000,,n/k
317,Yuzhou,China,1230000,,n/k
495,ZAGREB,Croatia,804000,1288000,Milan Bandic
345,Zapopan,Mexico,1155000,1200000,Hector Vielma Ordoёez
508,Zaporizhzhya,Ukraine,782000,,Yevgeni Kartashov
450,Zaria,Nigeria,898000,,n/k
551,Zhangjiakou,China,680000,882000,n/k
236,Zhanjiang,China,1450000,6900000,Ruan Risheng
99,Zhengzhou,China,2600000,4510000,Zhao Jiancai
111,Zhongshan,China,2495000,,n/k
83,Zibo,China,2850000,4200000,Liu Huiyan
n/r,Zurich,Switzerland,333000,965000,Corine Mauch
