Rank,Country / Territory,Population
190,Saint Vincent and the Grenadines,119000
191,U.S. Virgin Islands (US),112000
192,Federated States of Micronesia,110000
193,Grenada,103000
194,Tonga,102000
195,Aruba (Netherlands),99000
196,Kiribati,99000
197,Antigua and Barbuda,81000
198,Northern Mariana Islands (US),81000
199,Seychelles,81000
200,Dominica,79000
201,Isle of Man (UK),77000
202,Andorra,67000
203,American Samoa (US),65000
204,Bermuda (UK),64000
205,Marshall Islands,62000
206,Greenland (Denmark),57000
207,Faroe Islands (Denmark),47000
208,Cayman Islands (UK),45000
209,Saint Kitts and Nevis,43000
210,Liechtenstein,35000
211,Monaco,35000
212,Gibraltar (UK),28000
213,San Marino,28000
214,Turks and Caicos Islands (UK),26000
215,British Virgin Islands (UK),22000
216,Palau,20000
217,Cook Islands (NZ),18000
218,Wallis and Futuna (France),15000
219,Nauru,14000
220,Anguilla (UK),12000
221,Tuvalu,10000
222,Saint-Pierre and Miquelon (France),6000
223,Saint Helena (UK),5000[8]
224,Montserrat (UK),4000
225,Falkland Islands (UK),3000
226,Vatican City,1000
227,Niue (NZ),1000
228,Tokelau (UK),1000
229,Pitcairn Islands (UK),67
