World rank,City,Country,City population,Metro population,Mayor
n/r,Vitoria,Brazil,313000,1628000,Joуo Carlos Coser
n/r,Colombo,Brazil,247000,2160000,Josщ Antonio Camargo
252,SOFIA,Bulgaria,1403000,1455000,Yordanka Fandukova
225,OUAGADOUGOU,Burkina Faso,1475000,1727000,Simon Compaorщ
314,PHNOM PENH,Cambodia,1242000,2001000,Keb Chutema
242,YAOUND╔,Cameroon,1430000,1550000,n/k
263,Douala,Cameroon,1382000,2000000,n/k
101,Toronto,Canada,2571000,5100000,Rob Ford
189,Montreal,Canada,1621000,3636000,Gщrald Tremblay
416,Calgary,Canada,988000,1080000,Naheed Nenshi
483,OTTAWA,Canada,815000,1131000,Larry O'Brien
526,Edmonton,Canada,730000,1035000,Stephen Mandel
580,Vancouver,Canada,580000,2120000,Gregor Robertson
n/r,Quщbec,Canada,495000,717000,Rщgis Labeaume
560,BANGUI,Central African Republic,652000,789000,n/k
35,SANTIAGO,Chile,5278000,6677000,Pablo Zalaquett Said
n/r,Concepciєn,Chile,404000,978000,Jacqueline van Rysselberghe
n/r,Valparaiso,Chile,301000,904000,Aldo Cornej
2,Shanghai,China,14900000,19200000,Han Zheng
4,BEIJING,China,12460000,17550000,Guo Jinlong
24,Tianjin,China,7500000,11750000,Huang Xingguo
27,Hong Kong,China,7055000,,Donald Tsang
28,Guangzhou,China,6458000,10182000,Wan Qingliang
29,Dongguan,China,6446000,7650000,Li Yuquan
37,Shenyang,China,5090000,7760000,Li Yingjie
38,Chongqing,China,5087000,9700000,Huang Qifan
42,Harbin,China,4755000,9874000,Zhang Xiaolian
46,Wuhan,China,4500000,6200000,Ruan Chengfa
49,Chengdu,China,4334000,11000000,Ge Honglin
50,Shenzhen,China,4320000,8616000,Xy Qin
51,Nanjing,China,4150000,7600000,Ji Jianye
65,Changchun,China,3581000,7460000,Cui Jie
67,Guiyang,China,3450000,,Yuan Zhou
69,Hangzhou,China,3408000,6776000,Cai Qi
76,Kunming,China,3100000,6800000,Zhang Zulin
83,Zibo,China,2850000,4200000,Liu Huiyan
86,Huludao,China,2787000,,Sun Zhaolin
88,Qingdao,China,2755000,7580000,Xia Geng
89,Changsha,China,2744000,6140000,Zhang Jiangfei
91,Fuzhou (Fujian),China,2710000,6630000,Yuan Rongxiang
93,Xian,China,2670000,4480000,Chen Baogen
97,Shijiazhuang,China,2630000,9600000,Ai Wenli
99,Zhengzhou,China,2600000,4510000,Zhao Jiancai
103,Taiyuan,China,2550000,3400000,Zhang Bingsheng
109,Baoshan,China,2500000,,Xiong Qinghua
111,Zhongshan,China,2495000,,n/k
112,Xiamen,China,2490000,,Liu Cigui
113,Chaoyang,China,2471000,,Zhang Tiemin
115,Nanning,China,2450000,6480000,Huang Fangfang
119,Suzhou,China,2383000,6298000,Yan Li
123,Linyi,China,2300000,10080000,Lian Chengmin
124,Dalian,China,2270000,3478000,Li Wancai
130,Ningbo,China,2201000,5600000,Mao Guanglie
135,Lanzhou,China,2088000,3300000,Zhang Jinliang
136,Changzhou,China,2086000,3570000,Wang Weicheng
139,Kowloon,China,2020000,2200000,Wong Kwok-keung
142,Tangshan,China,1980000,7100000,Zhang Guodong
143,Jilin,China,1953000,4523000,Zhang Xiaopei
144,Nanchong,China,1950000,7300000,Liu Hongjian
149,Jinan,China,1900000,2444000,Zhang Jianguo
152,Macheng,China,1880000,,n/k
154,Nanchang,China,1844000,3.790000,Hu Xian
156,Xuzhou,China,1830000,9410000,Cao Xinping
159,Huzhou,China,1800000,2700000,Ma Yi
161,Suzhou Anhui,China,1800000,5600000,Tang Chengpei
162,Urumqi,China,1800000,2680000,Jerla Isamudin
163,Yantai,China,1800000,6500000,Zhang Jiangting
165,Tianmen,China,1790000,,n/k
167,Shantou,China,1770000,4972000,Cai Zong Ze
169,Hefei,China,1750000,4867000,Wu Cunrong
170,Tengzhou,China,1750000,,Du Yongguang
171,Wuxi,China,1750000,2230000,Mao Xiaoping
174,Fuyang,China,1720000,,Sun Yunfei
181,Suizhou,China,1680000,,Li Hongyun
185,Gaozhou,China,1650000,,n/k
186,Taian,China,1650000,5500000,Li Hongfeng
188,Tianshui,China,1630000,3450000,Li Wenqing
191,Shangqiu,China,1610000,8220000,Tao Minglun
201,Neijiang,China,1560000,,n/k
207,Hechuan,China,1530000,,n/k
210,Taizhou,China,1528000,5741000,Wu Weirong
215,Guigang,China,1500000,4400000,n/k
217,Luoyang,China,1500000,1499000,Guo Hongchang
220,Quanzhou,China,1490000,7790000,Zhu Ming
224,Nanan,China,1480000,,Chen Law
223,Xintai,China,1480000,,Liu Daqun
230,Xinyang,China,1460000,,Guo Ruimin
232,Rugao,China,1453000,,Ding Dawei
233,Anyang,China,1450000,3000000,Zhang Xiaodong
235,Weifang,China,1450000,8500000,Xu Liquan
236,Zhanjiang,China,1450000,6900000,Ruan Risheng
238,Fushun,China,1445000,2300000,Wang Yang
240,Qiqihaer,China,1439000,6011000,Liu Gang
241,Jianyang,China,1430000,,n/k
245,Guiping,China,1420000,,n/k
246,Huazhou,China,1420000,,n/k
254,Changde,China,1400000,6000000,Chen Wenhao
257,Tongzhou,China,1400000,,Ding Dawei
260,Handan,China,1390000,8500000,Guo Dajian
262,Suining,China,1385000,3500000,n/k
265,Liuyang,China,1380000,,Liang Zhong
266,Luzhou,China,1380000,4800000,Liu Guoqiang
274,Taixing,China,1355000,,Gao Yazi
275,Bozhou,China,1352000,,Liu Jian
277,Jinjiang,China,1350000,,Kenneth Li
278,Lufeng,China,1350000,,n/k
279,Yongcheng,China,1347000,,n/k
280,Guilin,China,1340000,,Li Zhigang
281,Pingdu,China,1340000,,n/k
287,Baotou,China,1318000,1750000,Hu Ercha
290,Lianjiang,China,1300000,,Xing Taian
292,Mianyang,China,1300000,5200000,Liu Dong
293,Yiyang,China,1300000,4500000,n/k
297,Anshan,China,1290000,2404000,n/k
299,Rizhao,China,1290000,,Zhao Xiaowei
303,Heze,China,1280000,,Du Changwen
308,Datong,China,1253000,1377000,n/k
310,Fengcheng,China,1250000,,n/k
311,Ruian,China,1250000,,n/k
312,Laiwu,China,1249000,,Ma Pingchang
316,Pingdingshan,China,1230000,5200000,Deng Yongjian
317,Yuzhou,China,1230000,,n/k
319,Cixi,China,1220000,,n/k
321,Huainan,China,1201000,,Cao Yong
322,Anqiu,China,1200000,,n/k
323,Fuqing,China,1200000,,n/k
330,Qianjiang,China,1190000,,n/k
331,Bazhong,China,1186000,,n/k
333,Leqing,China,1183000,,n/k
337,Dongtai,China,1170000,,n/k
341,Guangyuan,China,1160000,3037000,n/k
342,Qidong,China,1160000,,n/k
353,Bijie,China,1130000,7188000,n/k
354,Haicheng,China,1130000,,n/k
357,Leshan,China,1120000,,n/k
361,Jimo,China,1112000,,n/k
362,Jining,China,1110000,,Zhang Zhen Chuan
368,Wafangdian,China,1100000,,n/k
373,Shouguang,China,1090000,,n/k
381,Taishan,China,1070000,,n/k
385,Ezhou,China,1064000,,n/k
388,Jiangdu,China,1053000,,n/k
390,Beiliu,China,1050000,,n/k
391,Gongzhuling,China,1050000,,n/k
392,Changshu,China,1048000,,Wang Xiang
399,Fuzhou (Jiangxi),China,1020000,3700000,Xьe YьsоХ
400,Yichun,China,1020000,958000,Gong Jianhua
402,Mudanjiang,China,1014000,2707000,n/k
413,Baoding,China,997000,,n/k
415,Hezhou,China,990000,2090000,n/k
422,Wujiang,China,970000,1500000,n/k
426,Feicheng,China,960000,,n/k
429,Haimen,China,950000,,n/k
435,Weinan,China,925000,,n/k
445,Songzi,China,905000,,n/k
448,Laizhou,China,902000,,n/k
454,Danyang,China,890000,,n/k
456,Hengyang,China,880000,7000000,n/k
457,Honghu,China,880000,,n/k
459,Daye,China,874000,,n/k
473,Benxi,China,830000,1567000,Gang Rui
474,Haikou,China,830000,,n/k
480,Hohhot,China,820000,1041000,n/k
487,Liuzhou,China,810000,990000,n/k
490,Bengbu,China,809000,3470000,Chen Qitao
499,Daqing,China,800000,2770000,n/k
500,Nanyang,China,800000,10700000,Huang Xingwei
516,Jixi,China,760000,1960000,Zhu Deyi
521,Ankang,China,743000,,n/k
533,Xining,China,713000,894000,n/k
541,Fuxin,China,690000,969000,n/k
543,Jinzhou,China,690000,902000,n/k
551,Zhangjiakou,China,680000,882000,n/k
574,Kaifeng,China,584000,855000,n/k
584,Hengyang,China,561000,799000,n/k
n/r,Panzhihua,China,478000,771000,n/k
n/r,Liuan,China,320000,1600000,Tang Linxiang
n/r,Dongying,China,294000,804000,n/k
25,BOGOTA,Colombia,7320000,8361000,Samuel Moreno Rojas
104,Cali,Colombia,2525000,2801000,Jorge Ivan Ospina
128,Medellin,Colombia,2223000,3312000,Alonso Salazar Jaramillo
294,Barranquilla,Colombia,1298000,1871000,Alejandro Char Chaljub
452,Cartagena,Colombia,893000,1240000,Judith Pinedo
595,Bucaramanga,Colombia,542000,956000,n/k
352,BRAZZAVILLE,Congo Br,1133000,1134000,n/k
n/r,Pointe Noire,Congo Br,527000,789000,n/k
18,KINSHASA,Congo D.R.,8200000,10100000,Andrщ Kimbuta Yango
347,Lubumbashi,Congo D.R.,1140000,1250000,Moise Katumbi
444,Mbuji-Mayi,Congo D.R.,905000,1054000,n/k
497,Kolwezi,Congo D.R.,803000,803000,n/k
n/r,Kisangani,Congo D.R.,510000,818000,n/k
n/r,SAN JOSE,Costa Rica,357000,1370000,Johnny Araya
495,ZAGREB,Croatia,804000,1288000,Milan Bandic
116,HAVANA,Cuba,2430000,3700000,Juan Contino Aslсn
315,PRAGUE,Czech Republic,1242000,1900000,Zdenek Tuma
369,COPENHAGEN,Denmark,1096000,1096000,Frank Jensen
80,SANTO DOMINGO,Dominican Republic,2989000,3813000,Roberto Salcedo
284,Santiago de los Caballeros,Dominican Republic,1329000,1937.000,Gilberto Serulle
