World rank,City,Country,City population,Metro population,Mayor
n/r,Magdeburg,Germany,230000,,Lutz Tr№mper
n/r,Freiburg,Germany,220000,,Dieter Salomon
n/r,Oberhausen,Germany,216000,,Klaus Wehling
n/r,L№beck,Germany,211000,,Bernd Saxe
n/r,Erfurt,Germany,203000,,Andreas Bausewein
n/r,Rostock,Germany,201000,,Roland Methling
192,ACCRA,Ghana,1605000,2756000,Alfred Vanderpuije
216,Kumasi,Ghana,1500000,2500000,Samuel Sarpong
518,ATHENS,Greece,757000,3216000,Giorgos Kaminis
n/r,Thessaloniki,Greece,407000,798000,Vasilis Papageorgopoulos
372,GUATEMALA CITY,Guatemala,1090000,2564000,Alvaro Arz·
145,CONAKRY,Guinea,1931000,,Mamadou Wasco Camara
376,PORT-AU-PRINCE,Haiti,1083000,1728000,Jean Yves Jason
326,Tegucigalpa,Honduras,1200000,1324000,Ricardo Alvarez
175,BUDAPEST,Hungary,1712000,2503000,Istvсn Tarlєs
3,Mumbai (Bombay),India,13900000,21200000,Shraddha Jadhav
5,DELHI,India,12100000,16713000,Kanwar Sain
33,Bangalore,India,5840000,6562000,SK Nataraj
34,Surat,India,5390000,6347000,Rajendra Desai
36,Kolkata,India,5100000,15420000,Bikash Ranjan Bhattacharya
44,Chennai,India,4600000,7330000,M Subramaniam
45,Ahmadabad,India,4525000,6168000,Kanaji Thakor
60,Hyderabad,India,3637000,6290000,Banda Karthika Reddy
71,Pune,India,3337000,4470000,Mohansingh Rajpal
75,Kanpur,India,3100000,4865000,Ravindra Patani
78,Jaipur,India,3050000,5690000,Jyoti Khandelwal
85,Durg,India,2810000,,Dr Shiv Kumar Tamer
117,Nagpur,India,2420000,,Archana Dehankar
121,Lucknow,India,2342000,2686000,Dinesh Sharma
147,Indore,India,1912000,1920000,Krishna Murari Moghe
160,Patna,India,1800000,2500000,GhanShyam Kumar
184,Agra,India,1650000,1800000,Anjula Singh Mahaur
190,Nashik,India,1620000,,Nayana Gholap
213,Pimpri Chinchwad,India,1515000,,Yogesh Behl
219,Vadodara,India,1500000,3642000,Balakrishna Shukla
231,Bhopal,India,1458000,1600000,Krishna Gaur
256,Ludhiana,India,1400000,4400000,n/k
268,Thane,India,1375000,,Ashjok Vaity
269,Varanasi,India,1375000,3150000,Kaushalendra Singh
283,Rajkot,India,1336000,,Sandhya Vyas
298,Ranchi,India,1290000,,Rama Khalkho
306,Meerut,India,1277000,,n/k
320,Allahabad,India,1215000,1250000,Jitendr Nath Singh
329,Amritsar,India,1195000,1300000,Shawet Malik
339,Aurangabad,India,1168000,,Vijaya Rahatkar
351,Solapur,India,1134000,,Aruna Vakase
355,Madurai,India,1130000,,Thenmozhi Gopinathan
358,Jabalpur,India,1117000,1150000,Prabhat Sahu
370,Mirat,India,1095000,1095000,n/k
383,Dhanbad,India,1065000,1200000,n/k
387,Faridabad,India,1055000,2193000,n/k
406,Haora,India,1008000,,Sri Gopal Mukherjee
407,Haora,India,1008000,1020000,Sri Gopal Mukherjee
408,Jodhpur,India,1007000,,Om Kumari Gehlot
420,Ghaziabad,India,970000,,Damyanti Goel
421,Visakhapatnam,India,970000,1330000,B N Vishnu
428,Vijayawada,India,957000,1150000,Ratna Bindu
433,Coimbatore,India,931000,1446000,R.Venkatachalam
440,Srinagar,India,915000,1050000,Salman Sagar
449,Chandigarh,India,901000,,n/k
455,Sholapur,India,890000,890000,n/k
488,Thiruvananthapuram,India,810000,955000,C Jayan Babu
492,Guwahati,India,808000,820000,Dolly Borah
498,Hubli,India,801000,801000,n/k
501,Mysore,India,799000,,Purushotham
517,Tiruchchirappalli,India,760000,863000,n/k
532,Jalandhar,India,714000,764000,n/k
542,Gwalior,India,690000,866000,Sameeksha Gupta
549,Aligarh,India,680000,1116000,n/k
552,Amravati,India,678000,1031000,n/k
559,Bhubaneswar,India,659000,1455000,n/k
563,Jamshedpur,India,630000,1135000,n/k
583,Bhilai,India,564000,942000,n/k
n/r,Kozhikode,India,437000,,M. Bhaskaran
11,JAKARTA,Indonesia,10100000,24100000,Fauzi Bowo
77,Surabaya,Indonesia,3100000,3700000,Bambang D H
106,Bandung,Indonesia,2510000,3829000,Dada Rosada
141,Medan,Indonesia,1990000,2390000,Rahudman Harahap
195,Palembang,Indonesia,1600000,,Eddy Santana Putra
203,Tangerang,Indonesia,1545000,,Wahidin Halim
259,Semarang,Indonesia,1393000,1400000,Soemarmo HS
338,Ujung Pandang,Indonesia,1170000,1254000,n/k
360,Makasar,Indonesia,1113000,,Ilham Arief Sirajuddin
460,Bogor,Indonesia,866000,,Diani Budiarto
481,Padang,Indonesia,820000,900000,Fauzi Bahar
522,Bandar Lampung,Indonesia,743000,1123000,n/k
523,Malang,Indonesia,742000,921000,n/k
600,Surakarta,Indonesia,533000,857000,n/k
n/r,Denpasar,Indonesia,491000,934000,n/k
n/r,Yogyakarta,Indonesia,417000,840000,n/k
n/r,Mataram,Indonesia,330000,1081000,n/k
n/r,Cirebon,Indonesia,319000,926000,n/k
n/r,Tegal,Indonesia,238000,784000,n/k
16,TEHRAN,Iran,8430000,13450000,Mohammad Bagher Ghalibaf
81,Mashhad,Iran,2910000,3000000,Mohammad Pejman
197,Esfahan,Iran,1584000,2600000,Morteza Saqaeian Nejad
248,Tabriz,Iran,1420000,,Alireza Novin
264,Karaj,Iran,1380000,,n/k
282,Ahwaz,Iran,1338000,1500000,Saeed Mombeini
318,Shiraz,Iran,1228000,1300000,Mehran E'temad
393,Qom,Iran,1042000,,n/k
477,Kermanshah,Iran,823000,966000,n/k
32,Baghdad,Iraq,6050000,6500000,Sabir al-Issawi
168,Basrah,Iraq,1760000,3800000,Jabbar Jaber Al-Latif
295,Irbil,Iraq,1294000,15000000,n/k
348,Mosul,Iraq,1139000,1139000,n/k
n/r,Dublin,Ireland,506000,1661000,Emer Costello
514,Jerusalem,Israel,764000,1029000,Nir Barkat Nazareth
n/r,TEL AVIV,Israel,383000,3250000,Ron Huldai
n/r,Haifa,Israel,276000,975000,Yona Yahav
90,ROME,Italy,2732000,3555000,Gianni Alemanno
289,Milan,Italy,1302000,4051000,Letizia Moratti
423,Naples,Italy,963000,3000000,Rosa Russo Jervolino
442,Turin,Italy,910000,1617000,Sergio Chiamparino
546,Palermo,Italy,684000,947000,Diego Cammarata
n/r,Florence,Italy,375000,825000,Matteo Renzi
n/r,Catania,Italy,337000,831000,n/k
56,Abidjan,Ivory Coast,3800000,4000000,Pierre Djщdji Amondji
n/r,Bouakt,Ivory Coast,531000,775000,n/k
562,KINGSTON,Jamaica,650000,925000,n/k
15,TOKYO,Japan,8653000,31036000,Shintaro Ishihara
59,Yokohama,Japan,3655000,,Fumiko Hayashi
95,Osaka,Japan,2647000,17590000,Kunio Hiramatsu
125,Nagoya,Japan,2260000,9250000,Takashi Kawamura
148,Sapporo,Japan,1906000,2130000,Fumio Ueda
206,Kobe,Japan,1534000,1560000,Tatsuo Yada
227,Kyoto,Japan,1466000,1500000,Daisaku Kadokawa
234,Fukuoka,Japan,1450000,2230000,Hiroshi Yoshida
261,Kawasaki,Japan,1390000,1450000,Takao Abe
334,Saitama,Japan,1183000,,Hayato Shimizu
336,Hiroshima,Japan,1174000,1700000,Tadatoshi Akiba
396,Sendai,Japan,1032000,1300000,Emiko Okuyama
418,Kitakyushu,Japan,985000,1050000,Kenji Kitahashi
424,Chiba,Japan,962000,970000,Toshihito Kumagai
470,Sakai,Japan,836000,,Keisuke Kiharac
482,Hamamatsu,Japan,815000,1093000,Yasutomo Suzuki
486,Niigata,Japan,812000,,Akira Shinoda
530,Shizuoka,Japan,718000,1211000,Zenkichi Kojima
539,Okayama,Japan,700000,1250000,Shigeo Takaya
n/r,Okinawa,Japan,129000,,Kita Kurose
146,AMMAN,Jordan,1919000,2524000,Omar Maani
244,ALMATY,Kazakhstan,1420000,1500000,Akhmetzhan Yesimov
496,ASTANA,Kazakhstan,803000,,Imangali Tasmagambetov
458,Mombasa,Kenia,880000,,Ahmed Abubakar Mohdhar
74,NAIROBI,Kenya,3130000,3300000,Geoffrey Majiwa
n/r,KUWAIT CITY,Kuwait,96000,2380000,n/k
513,BISHKEK,Kyrgyzstan,765000,800000,Nariman Tuleyev
n/r,Osh,Kyrgyztan,230000,,Melis Myrzakmatov
528,RIGA,Latvia,725000,878000,Nils Usakovs
309,BEIRUT,Lebanon,1250000,2600000,Abdel Mounim Ariss
594,MONROVIA,Liberia,543000,1010000,Ophelia Hoff Saytumah
179,TRIPOLI,Libya,1683000,2270000,Abdullatif Abdulrahman Aldaali
226,Benghazi,Libya,1471000,1500000,n/k
593,VILNIUS,Lithuania,545000,,Vilius Navickas
