Rank,Country,Population,Date of Information
99,Tajikistan,7163506,July 2005 est.
100,Hong Kong,6898686,July 2005 est.
101,El Salvador,6704932,July 2005 est.
102,Paraguay,6347884,July 2005 est.
103,Israel,6276883,July 2005 est.
104,Laos,6217141,July 2005 est.
105,Sierra Leone,5867426,July 2005 est.
106,Libya,5765563,July 2005 est.
107,Jordan,5759732,July 2005 est.
108,Papua New Guinea,5545268,July 2005 est.
109,Nicaragua,5465100,July 2005 est.
110,Denmark,5432335,July 2005 est.
111,Slovakia,5431363,July 2005 est.
112,Togo,5399991,July 2005 est.
113,Finland,5223442,July 2005 est.
114,Kyrgyzstan,5146281,July 2005 est.
115,Turkmenistan,4952081,July 2005 est.
116,Georgia,4677401,July 2005 est.
117,Eritrea,4669638,July 2005 est.
118,Norway,4593041,July 2005 est.
119,Croatia,4495904,July 2005 est.
120,Moldova,4455421,July 2005 est.
121,Bosnia and Herzegovina,4430494,July 2005 est.
122,Singapore,4425720,July 2005 est.
123,Central African Republic,4237703,July 2005 est.
124,New Zealand,4035461,July 2005 est.
125,Costa Rica,4016173,July 2005 est.
126,Ireland,4015676,July 2005 est.
127,Puerto Rico,3911299,July 2005 est.
128,Lebanon,3826018,July 2005 est.
129,Congo Republic of the,3602269,July 2005 est.
130,Lithuania,3596617,July 2005 est.
131,Albania,3563112,July 2005 est.
132,Uruguay,3415920,July 2005 est.
133,Panama,3140232,July 2005 est.
134,Mauritania,3086859,July 2005 est.
135,Oman,3001583,July 2005 est.
136,Armenia,2982904,July 2005 est.
137,Liberia,2900269,July 2005 est.
138,Mongolia,2791272,July 2005 est.
139,Jamaica,2735520,July 2005 est.
140,United Arab Emirates,2563212,July 2005 est.
141,West Bank,2385615,NA
142,Kuwait,2335648,July 2005 est.
143,Latvia,2290237,July 2005 est.
144,Bhutan,2232291,July 2005 est.
145,Macedonia,2045262,July 2005 est.
146,Lesotho,2031348,July 2005 est.
147,Namibia,2030692,July 2005 est.
148,Slovenia,2011070,July 2005 est.
149,Botswana,1640115,July 2005 est.
150,Gambia The,1595086,July 2005 est.
151,Guinea-Bissau,1413446,July 2005 est.
152,Gabon,1394307,July 2005 est.
153,Gaza Strip,1376289,July 2005 est.
154,Estonia,1332893,July 2005 est.
155,Mauritius,1230602,July 2005 est.
156,Swaziland,1138227,July 2005 est.
157,Trinidad and Tobago,1075066,July 2005 est.
158,East Timor,1040880,July 2005 est.
159,Fiji,893354,July 2005 est.
160,Qatar,863051,July 2005 est.
161,Cyprus,780133,July 2005 est.
162,Reunion,776948,July 2005 est.
163,Guyana,765283,July 2005 est.
164,Bahrain,688345,July 2005 est.
165,Comoros,671247,July 2005 est.
166,Solomon Islands,538032,July 2005 est.
167,Equatorial Guinea,529034,July 2005 est.
168,Djibouti,476703,July 2005 est.
169,Luxembourg,468571,July 2005 est.
170,Macau,449198,July 2005 est.
171,Guadeloupe,448713,July 2005 est.
172,Suriname,438144,July 2005 est.
173,Martinique,432900,July 2005 est.
174,Cape Verde,418224,July 2005 est.
175,Malta,398534,July 2005 est.
176,Brunei,372361,July 2005 est.
177,Maldives,349106,July 2005 est.
178,Bahamas The,301790,July 2005 est.
179,Iceland,296737,July 2005 est.
180,Belize,281084,July 2005 est.
181,Barbados,278870,July 2005 est.
182,Western Sahara,273008,July 2005 est.
183,French Polynesia,270485,July 2005 est.
184,Netherlands Antilles,219958,July 2005 est.
185,New Caledonia,216494,July 2005 est.
186,Vanuatu,205754,July 2005 est.
187,French Guiana,195506,July 2005 est.
188,Mayotte,193633,July 2005 est.
189,Sao Tome and Principe,187410,July 2005 est.
190,Samoa,177287,July 2005 est.
191,Guam,168564,July 2005 est.
192,Saint Lucia,166312,July 2005 est.
193,Saint Vincent and the Grenadines,117534,July 2005 est.
194,Tonga,112422,July 2005 est.
195,Virgin Islands,108708,July 2005 est.
196,Micronesia Federated States of,108105,July 2005 est.
197,Kiribati,103092,July 2005 est.
198,Jersey,90812,July 2005 est.
199,Grenada,89502,July 2005 est.
200,Seychelles,81188,July 2005 est.
201,Northern Mariana Islands,80362,July 2005 est.
202,Man Isle of,75049,July 2005 est.
203,Aruba,71566,July 2005 est.
204,Andorra,70549,July 2005 est.
205,Dominica,69029,July 2005 est.
206,Antigua and Barbuda,68722,July 2005 est.
207,Bermuda,65365,July 2005 est.
208,Guernsey,65228,July 2005 est.
209,Marshall Islands,59071,July 2005 est.
210,American Samoa,57881,July 2005 est.
211,Greenland,56375,July 2005 est.
212,Faroe Islands,46962,July 2005 est.
213,Cayman Islands,44270,July 2005 est.
214,Saint Kitts and Nevis,38958,July 2005 est.
215,Liechtenstein,33717,July 2005 est.
216,Monaco,32409,July 2005 est.
217,San Marino,28880,July 2005 est.
218,Gibraltar,27884,July 2005 est.
219,British Virgin Islands,22643,July 2005 est.
220,Cook Islands,21388,July 2005 est.
221,Turks and Caicos Islands,20556,July 2005 est.
222,Palau,20303,July 2005 est.
223,Wallis and Futuna,16025,July 2005 est.
224,Anguilla,13254,July 2005 est.
225,Nauru,13048,July 2005 est.
226,Tuvalu,11636,July 2005 est.
227,Montserrat,9341,July 2005 est.
228,Saint Helena,7460,July 2005 est.
229,Saint Pierre and Miquelon,7012,July 2005 est.
230,Falkland Islands (Islas Malvinas),2967,July 2005 est.
231,Svalbard,2701,July 2005 est.
232,Niue,2166,July 2005 est.
233,Norfolk Island,1828,July 2005 est.
234,Tokelau,1392,July 2005 est.
235,Holy See (Vatican City),932,July 2005 est.
236,Cocos (Keeling) Islands,628,July 2005 est.
237,Johnston Atoll,361,July 2005 est.
238,Christmas Island,361,July 2005 est.
239,Pitcairn Islands,45,July 2005 est.
