Name,Region,Income,GNI,Population
Costa Rica,Latin America & Caribbean,Upper middle income,6580,4639827
CЇte d'Ivoire,Sub-Saharan Africa,Lower middle income,1070,21570746
Croatia,Eastern Europe & Central Asia,High income,13760,4430003
Cyprus,Eastern Europe & Central Asia,High income,28237,879723
Czech Republic,OECD high income,High income,17870,10534920
Denmark,OECD high income,High income,58980,5565020
Djibouti,Middle East & North Africa,Lower middle income,1383,879053
Dominica,Latin America & Caribbean,Upper middle income,4960,74000
Dominican Republic,Latin America & Caribbean,Upper middle income,4860,10225482
Ecuador,Latin America & Caribbean,Upper middle income,4510,13774909
Egypt Arab Rep.,Middle East & North Africa,Lower middle income,2340,84474427
El Salvador,Latin America & Caribbean,Lower middle income,3360,6194126
Equatorial Guinea,Sub-Saharan Africa,High income,14680,693385
Eritrea,Sub-Saharan Africa,Low income,340,5223994
Estonia,OECD high income,High income,14360,1340200
Ethiopia,Sub-Saharan Africa,Low income,380,84975606
Fiji,East Asia & Pacific,Lower middle income,3610,854098
Finland,OECD high income,High income,47170,5362610
France,OECD high income,High income,42390,64876618
Gabon,Sub-Saharan Africa,Upper middle income,7760,1501266
Gambia The,Sub-Saharan Africa,Low income,440,1750732
Georgia,Eastern Europe & Central Asia,Lower middle income,2690,4428544
Germany,OECD high income,High income,43330,81635580
Ghana,Sub-Saharan Africa,Lower middle income,1240,24332755
Greece,OECD high income,High income,27240,11329170
Grenada,Latin America & Caribbean,Upper middle income,5560,104342
Guatemala,Latin America & Caribbean,Lower middle income,2740,14376881
Guinea,Sub-Saharan Africa,Low income,380,10323755
Guinea-Bissau,Sub-Saharan Africa,Low income,540,1647380
Guyana,Latin America & Caribbean,Lower middle income,3270,761442
Haiti,Latin America & Caribbean,Low income,650,9958175
Honduras,Latin America & Caribbean,Lower middle income,1880,7615584
Hong Kong SAR China,East Asia & Pacific,High income,32900,7041270
Hungary,OECD high income,High income,12990,10004970
Iceland,OECD high income,High income,33870,318450
India,South Asia,Lower middle income,1340,1170938000
Indonesia,East Asia & Pacific,Lower middle income,2580,232516771
Iran Islamic Rep.,Middle East & North Africa,Upper middle income,4741,73864000
Iraq,Middle East & North Africa,Lower middle income,2320,32297391
Ireland,OECD high income,High income,40990,4451310
Israel,OECD high income,High income,27340,7577000
Italy,OECD high income,High income,35090,60574530
Jamaica,Latin America & Caribbean,Upper middle income,4750,2712091
Japan,OECD high income,High income,42150,127380000
Jordan,Middle East & North Africa,Upper middle income,4350,6093000
Kazakhstan,Eastern Europe & Central Asia,Upper middle income,7440,16316050
Kenya,Sub-Saharan Africa,Low income,780,40862900
Kiribati,East Asia & Pacific,Lower middle income,2010,99547
Korea Rep.,OECD high income,High income,19890,48875000
Kosovo,Eastern Europe & Central Asia,Lower middle income,3300,1815000
Kuwait,Middle East & North Africa,High income,36412,2863000
Kyrgyz Republic,Eastern Europe & Central Asia,Low income,880,5365167
Lao PDR,East Asia & Pacific,Lower middle income,1010,6436093
Latvia,Eastern Europe & Central Asia,High income,11620,2242830
Lebanon,Middle East & North Africa,Upper middle income,9020,4254583
Lesotho,Sub-Saharan Africa,Lower middle income,1080,2084182
Liberia,Sub-Saharan Africa,Low income,190,4101767
Lithuania,Eastern Europe & Central Asia,Upper middle income,11400,3318970
Luxembourg,OECD high income,High income,79510,506640
Macedonia FYR,Eastern Europe & Central Asia,Upper middle income,4520,2060563
Madagascar,Sub-Saharan Africa,Low income,440,20146442
Malawi,Sub-Saharan Africa,Low income,330,14900841
Malaysia,East Asia & Pacific,Upper middle income,7900,27913990
Maldives,South Asia,Upper middle income,4270,313920
Mali,Sub-Saharan Africa,Low income,600,15369809
Marshall Islands,East Asia & Pacific,Lower middle income,2990,62360
Mauritania,Sub-Saharan Africa,Lower middle income,1060,3365675
Mauritius,Sub-Saharan Africa,Upper middle income,7740,1282000
Mexico,Latin America & Caribbean,Upper middle income,9330,108523000
Micronesia Fed. Sts.,East Asia & Pacific,Lower middle income,2700,111064
Moldova,Eastern Europe & Central Asia,Lower middle income,1810,3561105
Mongolia,East Asia & Pacific,Lower middle income,1890,2701117
Montenegro,Eastern Europe & Central Asia,Upper middle income,6690,625516
Morocco,Middle East & North Africa,Lower middle income,2850,32381283
Mozambique,Sub-Saharan Africa,Low income,440,23405670
Namibia,Sub-Saharan Africa,Upper middle income,4650,2212037
Nepal,South Asia,Low income,490,29852682
Netherlands,OECD high income,High income,49720,16622560
New Zealand,OECD high income,High income,32145,4370700
Nicaragua,Latin America & Caribbean,Lower middle income,1080,5822265
Niger,Sub-Saharan Africa,Low income,360,15891482
Nigeria,Sub-Saharan Africa,Lower middle income,1180,158258917
Norway,OECD high income,High income,85380,4882930
Oman,Middle East & North Africa,High income,18657,2905114
Pakistan,South Asia,Lower middle income,1050,173383000
Palau,East Asia & Pacific,Upper middle income,6460,20519
Panama,Latin America & Caribbean,Upper middle income,6990,3508475
Papua New Guinea,East Asia & Pacific,Lower middle income,1300,6888387
Paraguay,Latin America & Caribbean,Lower middle income,2940,6459727
Peru,Latin America & Caribbean,Upper middle income,4710,29496120
Philippines,East Asia & Pacific,Lower middle income,2050,93616853
Poland,OECD high income,High income,12420,38177910
Portugal,OECD high income,High income,21860,10641710
Puerto Rico (U.S.),Latin America & Caribbean,High income,17280,3980064
Qatar,Middle East & North Africa,High income,76168,1508322
Romania,Eastern Europe & Central Asia,Upper middle income,7840,21449980
Russian Federation,Eastern Europe & Central Asia,Upper middle income,9910,141750000
Rwanda,Sub-Saharan Africa,Low income,540,10277212
Samoa,East Asia & Pacific,Lower middle income,2930,178943
Sуo Tomщ and Prэncipe,Sub-Saharan Africa,Lower middle income,1200,165397
Saudi Arabia,Middle East & North Africa,High income,16995.78,25988900
Senegal,Sub-Saharan Africa,Lower middle income,1050,12860717
Serbia,Eastern Europe & Central Asia,Upper middle income,5820,7289300
Seychelles,Sub-Saharan Africa,Upper middle income,9490,89000
Sierra Leone,Sub-Saharan Africa,Low income,340,5835664
Singapore,East Asia & Pacific,High income,40920,5140300
Slovak Republic,OECD high income,High income,16220,5429970
Slovenia,OECD high income,High income,23860,2065110
Solomon Islands,East Asia & Pacific,Lower middle income,1030,535699
South Africa,Sub-Saharan Africa,Upper middle income,6100,49962243
Spain,OECD high income,High income,31650,46217400
Sri Lanka,South Asia,Lower middle income,2290,20451826
St. Kitts and Nevis,Latin America & Caribbean,Upper middle income,9980,50000
St. Lucia,Latin America & Caribbean,Upper middle income,4970,174000
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,4850,109284
Sudan,Sub-Saharan Africa,Lower middle income,1270,43551941
Suriname,Latin America & Caribbean,Upper middle income,6975,524345
Swaziland,Sub-Saharan Africa,Lower middle income,2600,1201904
Sweden,OECD high income,High income,49930,9394130
Switzerland,OECD high income,High income,70350,7790010
Syrian Arab Republic,Middle East & North Africa,Lower middle income,2640,21615919
Taiwan China,East Asia & Pacific,High income,18458,23151000
Tajikistan,Eastern Europe & Central Asia,Low income,780,7074845
Tanzania,Sub-Saharan Africa,Low income,530,45039573
Thailand,East Asia & Pacific,Upper middle income,4210,68139238
Timor-Leste,East Asia & Pacific,Lower middle income,2200,1171163
Togo,Sub-Saharan Africa,Low income,440,6780030
Tonga,East Asia & Pacific,Lower middle income,3380,104260
Trinidad and Tobago,Latin America & Caribbean,High income,15380,1343725
Tunisia,Middle East & North Africa,Upper middle income,4070,10535100
Turkey,Eastern Europe & Central Asia,Upper middle income,9500,75705147
Uganda,Sub-Saharan Africa,Low income,490,33796461
Ukraine,Eastern Europe & Central Asia,Lower middle income,3010,45759961
United Arab Emirates,Middle East & North Africa,High income,59716.85,4707307
United Kingdom,OECD high income,High income,38540,62246610
United States,OECD high income,High income,47140,309712000
Uruguay,Latin America & Caribbean,Upper middle income,10590,3356584
Uzbekistan,Eastern Europe & Central Asia,Lower middle income,1280,28160361
Vanuatu,East Asia & Pacific,Lower middle income,2760,239651
Venezuela RB,Latin America & Caribbean,Upper middle income,11590,28834000
Vietnam,East Asia & Pacific,Lower middle income,1100,88361983
West Bank and Gaza,Middle East & North Africa,Lower middle income,1523,4152102
Yemen Rep.,Middle East & North Africa,Lower middle income,1060,24255928
Zambia,Sub-Saharan Africa,Lower middle income,1070,12926409
Zimbabwe,Sub-Saharan Africa,Low income,460,12644041
